State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ADAMAWA,FUFORE,PARIYA,02-02-07-011,KOFAR JAURO HODANGO,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,FUFORE,PARIYA,02-02-07-012,KOFAR JAURO JAMBUTU BAGALE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,FUFORE,PARIYA,02-02-07-021,PARIYA A PRY SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,FUFORE,RIBADU,02-02-08-013,NEAR BORE HOLE DASIN,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,FUFORE,WURO BOKKI,02-02-10-004,BILACHI PRY SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-009,UNGUWAN HAUSAWA I/ OLD MARKET,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-010,OLDMARKET GANYE IV PRY SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-011,UNGUWAN HAUSAWA/ K. SHEHU DAKA,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-012,MAGISTRATE COURT,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-013,NIPOST OFFICE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-014,WAZIRI ABBO/ GANYE IV PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GANYE I,02-03-03-015,YALAKI/ GANGWARI PALACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-004,DAKUNA TIBA/ KJ DAKUNA TIBA,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-005,DALEBI/ DALEBI PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-006,JANGANI/ JANGANI PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-007,JAURO DABBO/ KJ DABBO,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-009,KIREN SANDO/ K. SANDON,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-010,SAMMERI/ SAMMERI PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-011,SANDON/ KJ SANDON,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-012,SANGUDING/ SANGUDING PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-015,SANLINGBI/ KJ SANLINGBI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-016,SANTARUM/ KJ SANTARUM,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,GURUM,02-03-05-017,SANVAN/ SANVAN PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,SUGU,02-03-08-009,JANGANEN GBEURUM/ J. GBEURUM PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,SUGU,02-03-08-010,JUSANGUM/ KJ JUSANGUM,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,SUGU,02-03-08-011,JUTINGO/ KJ JUTINGO,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,SUGU,02-03-08-012,MAYO KORDO/ KJ MAYO KORDO,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,SUGU,02-03-08-013,SANDOKA/ IMMIGRATION OFFICE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ADAMAWA,GANYE,SUGU,02-03-08-014,SANKOLUM DAGENA/ SANKOLUM PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
