State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ADAMAWA,DEMSA,BILLE,02-01-01-003,DAKU SUNG/ DAKUSUNG PRI. SCH.,203,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,31,10,153,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2678/result_46013_1677493441_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-004,GADAMAYO/ EXT. PRI. SCH.,266,723,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,45,47,144,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2679/result_46014_1677493255_thumb.jpg
ADAMAWA,DEMSA,BILLE,02-01-01-006,GEJEMBO/ PRI. SCH.,255,962,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,44,16,174,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2681/result_46016_1677492129_thumb.jpg
ADAMAWA,DEMSA,BORRONG,02-01-02-001,BANGE/ BANGE PRIMARY SCHOOL,227,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677371874.pdf
ADAMAWA,DEMSA,BORRONG,02-01-02-007,UNG. JENJO/ PLAYING GROUND,182,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/007/007-1677398596.pdf
ADAMAWA,DEMSA,DEMSA,02-01-03-007,SABON DEMSA I/ VIEWING CENTRE,206,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,39,66,87,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3120/ward/17712/pu/2705/2705-1677582300.pdf
ADAMAWA,DEMSA,DONG,02-01-05-002,JANAWURI/ JANAWURI PRY. SCH.,224,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/002/002-1677370967.pdf
ADAMAWA,DEMSA,DWAM,02-01-06-001,DWAM PARE/ PLAYING GROUND,288,931,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3120/ward/17715/pu/2721/2721-1677600313.pdf
ADAMAWA,DEMSA,DWAM,02-01-06-003,DWAM SAKATO/ PRY. SCH.,222,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/002/002-1677401798.pdf
ADAMAWA,DEMSA,DWAM,02-01-06-004,KWALE/ KWALE PRY. SCH.,267,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3120/ward/17715/pu/2724/2724-1677597458.pdf
