State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
AKWA IBOM,ABAK,AFAHA OBONG 1,03-01-05-014,"VILLAGE SQUARE, IKOT UDO OBIO IWOK",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO IX,03-02-09-002,PRY SCH KAMPA. II,0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,EKET,URBAN 1,03-03-01-005,PRY SCH IKOT ATAKU. I,0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ESSIEN UDIM,ADIASIM,03-05-01-005,"PRY SCH, ADIASIM IKOT EKON",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ESSIEN UDIM,EKPEYONG 1,03-05-03-011,"PRY SCH, MIDIM ATAN",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ESSIEN UDIM,IKPE ANNANG,03-05-05-003,"VILLAGE SQUARE, EBE IKPE",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 111,03-06-03-001,"V/HALL, IKOT MBOHO",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 111,03-06-03-002,SEC SCH ETOK URUK ESHIET,0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 111,03-06-03-006,"PRY SCH 1, UTU IKOT EKPO",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 111,03-06-03-007,"PRY SCH, ATAI NTO OBO",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 111,03-06-03-008,"PRY SCH 11, UTU IKOT EKPO",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 1V,03-06-04-004,"PRY SCH, NTO UNANG",0,0,0,0,1,0,1,1,0,0,0,0,0,
AKWA IBOM,ETIM EKPO,ETIM EKPO 1V,03-06-04-006,"ST JOSEPH SCH, IKOT EDET",0,0,0,0,1,0,1,1,0,0,0,0,0,
