State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
AKWA IBOM,ABAK,ABAK URBAN 1,03-01-01-002,"PRY SCH, IKOT OBONG EDIENE",192,878,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,108,45,21,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5285/result_254903_1677582535_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1,03-01-01-004,"VILLAGE SQUARE, IKOT INYANG EDIENE",149,826,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,78,17,28,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5287/result_254905_1677582658_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1,03-01-01-009,"VILLAGE HALL, NTO UTOM UKPOM",195,382,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,38,23,103,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5292/result_254910_1677585423_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1,03-01-01-013,"VILLAGE  HALL, IKOT ONUK UKPOM",124,723,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,52,32,33,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5296/result_254914_1677587688_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1V,03-01-04-005,"MCSS, IKOT EBAK. I",202,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5319/result_254971_1677585424_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1V,03-01-04-006,"MCSS, IKOT EBAK. II",165,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5320/result_254972_1677586938_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1V,03-01-04-008,"VILLAGE SQUARE, UTU EDEM AKAI",264,933,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5322/result_254974_1677587859_thumb.jpg
AKWA IBOM,ABAK,ABAK URBAN 1V,03-01-04-009,"VILLAGE SQUARE, ABAK IKOT",246,951,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5323/result_254975_1677588107_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-001,"PRY SCH, IKOT UBOM",293,749,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5338/result_254997_1677590556_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-003,"PRY SCH, IKOT IBIT EKPE",130,459,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5340/result_254999_1677591191_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-004,"V/H, IKOT OBIO IKPA",181,463,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5341/result_255000_1677591467_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-005,"VILLAGE SQUARE, IKOT OBIO IKPA",158,660,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,101,4,42,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5342/result_255001_1677591990.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-006,"VILLAGE SQUARE, UKANA MKPA EYOP",200,683,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5343/result_255002_1677593441_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-011,"V/H, IKOT AKPA EDEM",208,594,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5348/result_255007_1677599617_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-014,"PRY SCH, IKWEK",184,674,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1129,15,21,754,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5351/result_255010_1677596279_thumb.jpg
AKWA IBOM,ABAK,AFAHA OBONG 11,03-01-06-016,"V/H, IKOT NDUE",173,443,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5353/result_255012_1677593129_thumb.jpg
AKWA IBOM,ABAK,MIDIM 11,03-01-08-001,"VILLAGE SQUARE, IKOT EDONG",204,478,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,68,43,61,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3141/ward/17943/pu/5376/5376-1677592673.pdf
AKWA IBOM,ABAK,MIDIM 11,03-01-08-009,"PRY SCH, NTO OBO 1",257,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,159,29,43,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3141/ward/17943/pu/5384/5384-1677598919.pdf
AKWA IBOM,ABAK,OTORO 1,03-01-09-006,"PRY SCH, OTORO. I",264,606,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5387/result_255057_1677604335_thumb.jpg
AKWA IBOM,ABAK,OTORO 1,03-01-09-007,"V/H, IKOT ESSIENETOK",280,771,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5388/result_255058_1677605397_thumb.jpg
AKWA IBOM,ABAK,OTORO 11,03-01-10-002,"VILLAGE SQUARE, URUK USO",246,658,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,129,145,47,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5390/result_255065_1677601889.jpg
AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO 1,03-02-01-003,"VILLAGE SQUARE, OKORETE",123,513,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,58,27,12,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5411/result_255090_1677598629_thumb.jpg
AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO 1,03-02-01-004,VILLAGE SQUARE OJO'S OKORETE,189,799,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5412/result_255091_1677599303_thumb.jpg
AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO 1,03-02-01-006,VILLAGE SQUARE AYAMA,146,645,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,989,5,69,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5414/result_255093_1677599962_thumb.jpg
AKWA IBOM,EKET,URBAN 1,03-03-01-002,"V/H, IKOT OKUDOM",155,750,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,14,65,56,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5461/result_255146_1677583643_thumb.jpg
AKWA IBOM,EKET,URBAN 1,03-03-01-004,PRY SCH IKOT ABIA,201,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,26,66,84,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5463/result_255148_1677585082_thumb.jpg
AKWA IBOM,ESIT EKET (UQUO),EKPENE OBO,03-04-01-002,V/H NDITO INI IDUNG IKOT,171,940,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,62,32,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/01/pu/002/002-1677360738.pdf
AKWA IBOM,ESIT EKET (UQUO),IKPA,03-04-04-002,V/H IDUNG EBIENO,112,835,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,27,24,41,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/04/pu/002/002-1677381046.pdf
AKWA IBOM,ESIT EKET (UQUO),IKPA,03-04-04-005,"V/H IDUNG OKPO, IKPA",114,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/04/pu/005/005-1677359917.pdf
