State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ANAMBRA,AYAMELUM,ANAKU,04-02-01-001,OBUKWU SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-002,OBUKWU SQUARE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-003,ATAVA SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-004,ATAVA SQUARE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-005,AKPA HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-006,AKPA HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-007,UMURIANA HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-008,UMURIANA HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-009,UMUERECHI HALL I (UMUERECHI VILLAGE SQUARE I),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-010,UMUERECHI HALL II (UMUERECHI VILLAGE SQUARE II),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-011,AKPI HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-012,UMUOKA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-013,UMUOTOBO HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-014,UMUOTOBO HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-015,UMUOTOBO HALL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-016,UMUOTOBO HALL IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-017,C.P.S. ANAKU I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-018,C.PS. ANAKU II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-021,ISIOKWE SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-022,ISIOKWE SQUARE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-023,UMUARECHI HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,ANAKU,04-02-01-024,AUSTIN FARMS,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-001,C.P.S IFITE-OGWARI I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-003,C.P.S IFITE - OGWARI III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-004,IFITE OGWARI POST OFFICE (ANIOCHA SQUARE I),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-005,COMM. PRIMARY SCHOOL I (ANIOCHA SQUARE II),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-006,COMM. PRIMARY SCHOOL II (ANIOCHA SQUARE III),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-008,AMAOKPOLO SQUARE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-009,AMAOKPOLO SQUARE III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-010,AMAOKPOLO SQUARE IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-011,UMUDIE SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-014,CENTRAL SCHOOL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-015,CENTRAL SCHOOL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  I,04-02-02-016,CENTRAL SCHOOL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-002,OGWARI PRIMARY SCHOOL II (UMUAWA SQUARE II),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-007,OGWARI PRY. SCHOOL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-008,OGWARI PRY. SCHOOL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-009,AMA ISUIDALA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-010,AMA ISUIDALA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-011,AMA ISUIDALA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IFITE OGWARI  II,04-02-03-014,EGBEAPATAGHI HALL II (UKOJO OTUBE F/S),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-001,ISIACHAELLE VILLAGE HALL I (UMUEREAKAGBA I),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-003,ISIACHAELLE VILLAGE HALL III (UMUEREAKAGBA III),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-004,ISIACHAELLE VILLAGE HALL IV (UMUEREAKAGBA IV),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-005,COMMUNITY PRIMARY SCHOOL I (UMUEREDO  VILLAGE SQUARE I),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-006,COMMUNITY PRIMARY SCHOOL II (UMUEREDO  VILLAGE SQUARE II),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-007,NOBO PRIMARY SCHOOL I (AMAGU VILLAGE SQUARE I),0,0,0,0,1,0,1,1,0,0,0,0,0,
ANAMBRA,AYAMELUM,IGBAKWU,04-02-04-008,NOBO PRIMARY SCHOOL II (AMAGU VILLAGE SQUARE II),0,0,0,0,1,0,1,1,0,0,0,0,0,
