State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ANAMBRA,AGUATA,ACHINA   I,04-01-01-002,EZIAMA SQUARE,90,222,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,86,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677401791.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-003,UGWUACHI SQUARE,93,327,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,89,1,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677404535.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-004,ST. PETER'S COLLEGE,118,330,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,107,3,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8264/result_164739_1677589879_thumb.jpg
ANAMBRA,AGUATA,ACHINA   I,04-01-01-007,GBIRIGBO HALL,190,578,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,171,3,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/007/007-1677360466.pdf
ANAMBRA,AGUATA,ACHINA   I,04-01-01-009,OYE MOTOR PARK  I,121,382,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,109,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/009/009-1677412714.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-006,"PRY. SCHOOL, AGULUEZE CHUKWU I",231,654,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677360859.pdf
ANAMBRA,AGUATA,AGULUEZE CHUKWU,04-01-03-012,NKWO MARKET II,97,329,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,87,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/012/012-1677368201.pdf
ANAMBRA,AGUATA,AKPO,04-01-04-003,AKPO TOWN HALL II,191,660,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/002/002-1677367761.pdf
ANAMBRA,AGUATA,AKPO,04-01-04-004,AKPO TOWN HALL II,191,660,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/002/002-1677367761.pdf
ANAMBRA,AGUATA,AKPO,04-01-04-005,UHUALA HALL I,164,404,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/005/005-1677368867.pdf
