State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BAUCHI,ALKALERI,ALKALERI,05-01-01-001,UNGUWAR AJIYA I - VILLAGE HEAD OFFICE I,366,1333,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,87,1,228,12,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12869/result_170456_1677573713_thumb.jpg
BAUCHI,ALKALERI,ALKALERI,05-01-01-002,UNGUWAR AJIYA I - VILLAGE HEAD OFFICE II,330,1162,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,69,0,233,10,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12870/result_170457_1677530019_thumb.jpg
BAUCHI,ALKALERI,ALKALERI,05-01-01-007,SARKIN SHANU II - CENTRAL PRIMARY SCHOOL,293,1010,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,101,1,164,13,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12875/result_170462_1677565824_thumb.jpg
BAUCHI,ALKALERI,ALKALERI,05-01-01-018,MAIMADIRI II - MAIMADIRI PRIMARY SCHOOL,0,1360,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12886/result_170473_1677940077_thumb.jpg
BAUCHI,ALKALERI,PALI,05-01-02-020,YALA - KOFAR FADA,111,417,TRUE,0,FALSE,FALSE,FALSE,FALSE,TRUE,26,0,79,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12910/result_170525_1677612628_thumb.jpg
BAUCHI,ALKALERI,GAR,05-01-03-006,FANTI TASHA II - K/ S/ FANTI,269,708,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,48,0,233,9,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12917/result_170535_1677616196_thumb.jpg
BAUCHI,ALKALERI,GAR,05-01-03-012,GURUNTU - GURUNTU PRIMARY SCHOOL,171,502,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12923/result_170541_1678058213_thumb.jpg
BAUCHI,ALKALERI,GWARAM,05-01-04-001,UNGUWAR TURAKI - K.M HAMMA,297,793,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,622,7,61,803,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12926/result_170545_1677620178_thumb.jpg
BAUCHI,ALKALERI,GWARAM,05-01-04-003,UNGUWAR BABA GAMJI II - K.M ABDULLAHI,174,699,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12928/result_170547_1677621511_thumb.jpg
BAUCHI,ALKALERI,GWARAM,05-01-04-007,GWARAM WEST KOFAR ALHAJI KAWUN KAWU,297,959,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12932/result_170551_1677620776_thumb.jpg
BAUCHI,ALKALERI,MAIMADI,05-01-05-004,KWAIMAWA - KWAIMAWA PRIMARY SCHOOL II,110,437,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12952/result_170578_1677555363_thumb.jpg
BAUCHI,ALKALERI,MAIMADI,05-01-05-011,"BUBU KUFA - K,S KUFA",94,258,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,16,0,66,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/12959/result_170585_1677533857_thumb.jpg
