State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BAYELSA,BRASS,BRASS 1,06-01-01-001,TOWN COMMUNITY SCHOOL BUILDING,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-002,GBUNDU OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-004,AGIP SITE (INDUSTRIAL) OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-010,BOUTIBI OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-014,CAMEROUN OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-015,SAMBO I OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-017,APOSTOLIC COMMUNITY HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-018,EREFAMOKUMA OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS 1,06-01-01-021,SAMPSON COMPOUND OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS WARD II,06-01-02-006,SUNNY POLO OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,BRASS WARD II,06-01-02-008,LOCATION KIRI COMMUNITY HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,CAPE FARMOSA,06-01-06-011,"STATE SCHOOL, LIAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,OGINIBIRI,06-01-08-002,S.S. OGINIBIRI SCHOOL BUILDING,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,BRASS,OGINIBIRI,06-01-08-008,LIBERIA - KOLOBIE OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-001,KALATUWARE COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-002,OLOLUWARE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-003,FEIDEIWARE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-004,ATENTUAWARE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-005,YEIDIRODEWARE PRI. SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-006,OGBOSUWARE PRI. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-007,MAINWARE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-008,RIDONKUMOWARE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BAYELSA,EKEREMOR,OYIAKIRI I,06-02-02-009,BOUMOWARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
