State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BAYELSA,BRASS,SHIRA,06-01-01-006,YANA WEST PRIMARY SCHOOL II,240,385,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,9,20,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/675515/result_174715_1677923452_thumb.jpg
BAYELSA,BRASS,BRASS WARD II,06-01-02-003,FIRE STATION OPEN SPACE,72,530,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,8,28,28,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/16970/result_177447_1677739594_thumb.jpg
BAYELSA,BRASS,ODIOMA/DIEMA,06-01-05-005,ELEMUAMA DIEMA OPEN SPACE,0,258,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17016/result_177497_1677755998_thumb.jpg
BAYELSA,BRASS,ODIOMA/DIEMA,06-01-05-008,ADUMU - AMA - COMMUNITY HALL,131,705,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17019/result_177500_1677743705_thumb.jpg
BAYELSA,BRASS,SANGANA,06-01-10-005,STATE SCH. SANGANA OPEN SPACE,158,1813,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,21,10,126,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17096/result_177583_1677605500_thumb.jpg
BAYELSA,EKEREMOR,TARAKIRI,06-02-01-002,AYAMABIRI COMPOUND,105,570,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,16,12,76,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17106/result_176921_1677654222_thumb.jpg
BAYELSA,EKEREMOR,TARAKIRI,06-02-01-004,OBRIENWARE QTRS.,123,784,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,34,10,75,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17108/result_176923_1677651991_thumb.jpg
BAYELSA,EKEREMOR,TARAKIRI,06-02-01-021,ZIDEWARE ZIDE QTRS,105,411,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,38,51,29,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17125/result_176940_1677654587_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR II,06-02-07-008,AZAGBENE SQUARE,80,808,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,4,6,70,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17191/result_177020_1677615687_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-017,AGOMOWARE QTRS II,95,593,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17216/result_177052_1678012197_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-018,AZIKPOWARE QTRS,91,595,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17217/result_177053_1678012415_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-019,DUWOISUOGHAWARE QTRS,81,711,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17218/result_177054_1678012587_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-020,PENA-OWEIWARE,59,599,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17219/result_177055_1678012897_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-021,OGBOSAINWARE QTRS,113,650,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17220/result_177056_1678013039_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-022,EMGBIDIWARE,97,732,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17221/result_177057_1678013201_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-024,AYEWARE QTRS,126,872,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17223/result_177059_1678013600_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-025,AYAMA I,49,239,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17224/result_177060_1678014056_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-026,AYAMA II,63,633,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17225/result_177061_1678014309_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-027,AYAMA III,112,512,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17226/result_177062_1678014437_thumb.jpg
BAYELSA,EKEREMOR,OPOROMOR III,06-02-08-028,AZUZUWARE I SQUARE I,65,940,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/17227/result_177063_1678014584_thumb.jpg
