State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BENUE,ADO,APA,07-01-02-002,"R.C.M. SCH. APA, SCH. COMP",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,APA,07-01-02-004,"APA II, OPPOSITE AUSTIN CHEM.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,APA,07-01-02-008,"OKPODO, PLAY GRD",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,APA,07-01-02-009,"AZIGBILEDE, PLAY GRD",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,APA,07-01-02-013,"IVEISE, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,EKILE,07-01-03-001,"OFUNAGA, METH. PRIM. SCHOOL",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,EKILE,07-01-03-003,AKPOGE PLAY GROUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,EKILE,07-01-03-004,"IYOMA I, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,IGUMALE I,07-01-04-007,"OLOKWU, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,IJIGBAN,07-01-06-010,"ONUEBOR, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,OGEGE,07-01-07-009,"AKWACHA, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ROYONGO,07-01-08-006,"WUREGO, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ROYONGO,07-01-08-016,"ISILOKO II, MKT. SQ.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,UKWONYO,07-01-09-018,"IKPEYI, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-001,"A1-OGA, PRI. SCHOOL (RCM)",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-002,"EKEBE EBIA, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-003,AMEKA ULAYI PLAY GROUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-004,"EKA, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-005,EBERA IPOLE I MKT SQR,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-006,"INIKIRU, MKT. SQ.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-007,"UMU-ALUMA, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-008,"UMUAWO, OPEN SPACE",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-009,"OGBOLOKUTA, MKT. SQ.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-010,"ODUM EFFIUM, MKT. SQ.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-011,"OJEGBE CENTRE, PLAY GROUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-012,"EBIA, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-013,ULAYI HEALTH CLINIC (L.G. CLINIC),0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,ADO,ULAYI,07-01-10-014,"OKPERE, L.G.E.A. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,BURUKU,ETULO,07-04-02-005,"ATTA SEC. SCHOOL, ADI II",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-002,"GBOKO MARKET, MKAR TAXI PARK I",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-004,NEAR DOSSIES COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-005,NEAR SHEHU BABAYO COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-006,"GBOKO CENTRAL, OPP IORTYOM LUGA COMP",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-007,"LGEA PRIMARY SCHOOL, GBK CENTRAL",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-008,POST OFFICE OLD,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-010,"PRIMARY SCHOOL, ST. JOHN'S I",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-011,"PRIMARY SCHOOL, ST. JOHN'S II",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-015,"GBOKO MARKET, (MKAR TAXI PARK III",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-018,NEAR ULA LISA COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBK/CENTRAL MARKET,07-05-01-019,SUPER MARKET UNION NO. 22 J.S. TARKA WAY,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO EAST,07-05-02-038,"GBOKO EAST, G.S.S. GBOKO - NUR/PRIMARY SCHOOL PREMISES",0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-002,MARKET SQUARE I- TSE GOON,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-003,MARKET SQUARE II - TSE GOON,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-005,MARKET SQUARE - ANSHANGE APA,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-007,LGEA PRIM. SCHOOL - GBUUSHI,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-008,MARKET SQUARE - TOMATO,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-009,HOTEL (CCD) - NR VIEW POINT,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-011,GBOKO NORTH - NR GYADO VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-012,STATION - OPP. TRAFFIC POLICE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-013,GBOKO NORTH - OPP. POLICE FIELD,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-014,GBOKO N/WEST (NEAR TSE HOMGBEV COMPOUND I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-015,GBOKO N/WEST (NEAR TSE HOMGBEV COMPOUND II,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-016,GBOKO WEST - WUAM GAMBE - COMP. I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-017,GBOKO N/WEST - AGUM COMP.,0,0,0,0,1,0,1,1,0,0,0,0,0,
BENUE,GBOKO,GBOKO NORTH WEST,07-05-03-018,GBOKO WEST - WUAM GAMBE - COMP. II,0,0,0,0,1,0,1,1,0,0,0,0,0,
