State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BENUE,ADO,AKPOGE/OGBILOLO,07-01-01-002,"OGBILOLO 1, OGBILOLO PLAY GRD.",95,555,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,29,45,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677371034.pdf
BENUE,ADO,AKPOGE/OGBILOLO,07-01-01-005,"OKPATOBOM, OKPATOBOM PLAY GRD",72,456,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,23,44,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677394364.pdf
BENUE,ADO,APA,07-01-02-001,"METHODIST PRI SCHO I, SCH. COMP.APA",139,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677370956.pdf
BENUE,ADO,APA,07-01-02-014,"NETH. PRIM. SCH. II SCH. COMP, APA",115,807,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/014/014-1677373679.pdf
BENUE,ADO,EKILE,07-01-03-008,"ODOKEM, PLAY GROUND",133,986,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1000,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/008/008-1677383995.pdf
BENUE,ADO,EKILE,07-01-03-009,METH. PRIM. SCH. ANMEKA EKPUFU,148,756,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/009/009-1677382441.pdf
BENUE,ADO,EKILE,07-01-03-010,"ANMEKA NSIDA, NDOUOBASI MKT. SQ",172,697,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/010/010-1677385529.pdf
BENUE,ADO,EKILE,07-01-03-013,"ONOGWU, PLAY GROUND",88,312,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/013/013-1677394504.pdf
BENUE,ADO,IGUMALE I,07-01-04-002,"OTURUKPO, PLAY GROUND",74,266,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,50,20,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/002/002-1677392219.pdf
BENUE,ADO,IGUMALE II,07-01-05-002,"CAMP II, L.G. DISPENSARY",162,615,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/002/002-1677377576.pdf
