State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BORNO,ABADAM,AREGE,08-01-01-005,KANNAMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,AREGE,08-01-01-006,TUMBUN MARI I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,AREGE,08-01-01-007,TUMBUN MARI II,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,AREGE,08-01-01-009,TUMBUN GINI  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,BANOWA,08-01-02-002,GARERE PRI. SCH. I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,MALLAM KAUNARI,08-01-07-005,KANIRAM,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,YAU,08-01-08-001,NGAMMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,YAU,08-01-08-003,NGARISKA PRI. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,YAWA KURA,08-01-09-001,ABADAM PRI. SCH. I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,YITUWA,08-01-10-002,G.J.D.S.S. ABADAM,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,ABADAM,YITUWA,08-01-10-004,SHETTIMA GANARI,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DAMBOA,AJIGIN (A) ,08-07-01-002,AJIGIN MAIRI II,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DAMBOA,AZUR/MULTE/FORFOR,08-07-03-007,FORFOR,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DAMBOA,AZUR/MULTE/FORFOR,08-07-03-008,MULGULA,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DAMBOA,AZUR/MULTE/FORFOR,08-07-03-010,KOBOA,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DAMBOA,WAWA / KOREDE,08-07-10-004,WAWA LAWANTI,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DIKWA,DIKWA,08-08-02-004,KANUMBURI JAJA'A I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DIKWA,DIKWA,08-08-02-005,COMMUNITY VIEW CENTRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DIKWA,GAJIBO,08-08-03-001,GAJIBO VIEW CENTRE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DIKWA,GAJIBO,08-08-03-008,GAJIBO DISPENSARY ,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DIKWA,MUDU / KAZA,08-08-06-007,MUTUGU PRI. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
BORNO,DIKWA,MUDU / KAZA,08-08-06-009,MUZUGULI PRI. SCH.  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
