State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
BORNO,ABADAM,AREGE,08-01-01-001,AREGE PRI. SCH.,101,1316,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,90,0,10,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19184/pu/22444/22444-1677545408.pdf
BORNO,ABADAM,AREGE,08-01-01-002,DOGON CHUKU BULAMARI I,23,990,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,90,0,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19184/pu/22445/22445-1677545577.pdf
BORNO,ABADAM,AREGE,08-01-01-008,TUMBUN GINI I,18,916,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,14,0,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19184/pu/22451/22451-1677535066.pdf
BORNO,ABADAM,FOUGUWA,08-01-03-007,MUSUGUN,18,378,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22452/result_183251_1677535358_thumb.jpg
BORNO,ABADAM,KUDOKURGU,08-01-05-003,COMMUNITY VIEWING CENTRE I,49,1198,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22462/result_183263_1677511502_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-003,DORO PRI. SCH. I,15,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,12,0,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22470/result_183277_1677538372_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-004,KESSA'A LAWANTI I,48,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22471/result_183278_1677537553_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-005,LIMANTI   I,58,1003,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,19,0,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/22472/result_183279_1677539115_thumb.jpg
BORNO,ABADAM,MALLAM FATORI KESSA’A ,08-01-06-006,LIMANTI  II,29,622,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19189/pu/22483/22483-1677627085.pdf
BORNO,ABADAM,MALLAM KAUNARI,08-01-07-001,AFUNORI PRI. SCH. I,37,640,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3244/ward/19190/pu/22487/22487-1677547185.pdf
