State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
CROSS RIVER,YALA,GABU,09-18-02-002,PLAYGROUND ADIKPE MIDDLE,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,NTRIGOM/MFUMA,09-18-04-007,"PRIMARY SCHOOL,  AKUMENYI",0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,NTRIGOM/MFUMA,09-18-04-008,"PLAY GROUND, NDUOGONI",0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,NTRIGOM/MFUMA,09-18-04-014,"PLAY GROUND,  UJAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,OKUKU,09-18-06-010,BY IJAKPA'S STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,OKUKU,09-18-06-012,CONVENT PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,OKUKU,09-18-06-015,ST. JOSEPH PRIMARY SCHOOL OKUKU VI,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,AKAMKPA,AWI,09-02-02-015,"ST. BERNARD TECHNICAL COLLEGE, OBUNG",0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-012,SKILL ACQUISITION CENTRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-015,OPEN SPACE NEAR LOFINA COMPANY,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-039,LISHI-KAKUN FIELD,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-053,OPEN SPACE NBETUEN TRANSFORMER & OVERHEAD WATER TANK,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-061,"INDI-UMBUO TOWN HALL, BEBUABIE",0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-062,KUYIA JUNCTION BEBUABIE,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-063,OPEN SPACE NEAR GRACE BIBLE CHURCH KUYIA,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-065,OPEN SPACE NEAR MR. ALELE'S COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,OBUDU,IPONG,09-14-04-069,OPEN SPACE NEAR MR. E ANIMPUYE'S HOUSE,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,ECHUMOFANA,09-18-01-015,AKREHA HEALTH CENTRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,ECHUMOFANA,09-18-01-016,P/G IPUOLE EKPIRINYI II,0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,OKUKU,09-18-06-030,"MATHIAS OFFOBOCHE SEC. SCH, OKUKU",0,0,0,0,1,0,1,1,0,0,0,0,0,
CROSS RIVER,YALA,OKUKU,09-18-06-031,OKUKU GARAGE II BY THE BOREHOLE,0,0,0,0,1,0,1,1,0,0,0,0,0,
