State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-001,OKPARA  INLAND I OKPARA  T/HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-002,OKPARA  INLAND I /GIRLS  P/S  I,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-003,OKPARA  INLAND I /GIRLS  P/S  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-004,OKPARA  INLAND I /URHUEGBE  P/S,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-005,OKPARA  INLAND I /URHUEGBE  QUARTERS,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-006,OKPARA  INLAND I /GOVERNMENT MARKET AREA,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-007,OKPARA  INLAND I /AGBON COLLEGE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-008,OKPARA INLAND II/EJAIFE  P/S HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-009,OKPARA INLAND II/LOCAL GOVERNMENT DISPENSARY,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-010,OKORUNOH/EYAKURE  P/S,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-011,UTUYO/UTUYO VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-012,IMODJE/IMODJE  VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-013,EKPAGHA/EKPAGHA  P/S,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-015,OKUREKPO/OKUREKPO  P/S  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-016,OKUREKPO/ONUDE  QUARTERS  I,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  I,10-05-04-017,OKUREKPO/ONUDE  QUARTERS  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  III,10-05-06-004,KOKORI I/KOKORI  T/HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  VI,10-05-09-012,EKU II/AGANBI  G/S II,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  VIII,10-05-11-001,"FRONT OF OBOH'S COMPOUND, ISIOKOLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  EAST,AGBON  VIII,10-05-11-003,"AGBON PRIM. SCH., ISIOKOLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  WEST,JESSE  I,10-06-03-015,IDJERAKA/OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,ETHIOPE  WEST,OGHARA I,10-06-07-010,IJOMI/IJOMI PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-001,"OBAIGBENA PRIMARY SCHOOL, OWA -OYIBU I",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-002,"OBAIGBENA PRIMARY SCHOOL, OWA -OYIBU II",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-003,"OBAIGBENA PRIMARY SCHOOL, OWA -OYIBU III",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-004,"COURT HALL, OWA - OYIBU I",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-005,"COURT HALL, OWA - OYIBU II",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-006,"COURT HALL, OWA - OYIBU III",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-007,"COURT HALL, OWA - OYIBU IV",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-008,"OBISI PRIMARY SCHOOL, OWA - OYIBU I",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-010,"OBISI PRIMARY SCHOOL, OWA - OYIBU III",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-011,"RALL -WAY CAMP, OWA - OYIBU",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA I,10-07-01-012,"ISIBOR PRIMARY SCHOOL, OWA - ALIDINMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA II,10-07-02-001,"OMI PRIMARY SCHOOL, OWA - ALERO I",0,0,0,0,1,0,1,1,0,0,0,0,0,
DELTA,IKA NORTH- EAST,OWA II,10-07-02-006,"UGBEKILE HALL, OWA-ALERO I",0,0,0,0,1,0,1,1,0,0,0,0,0,
