State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-003,"KANIDILIMA P/S - OGBE ISSE, ONICHA-UKU",215,1167,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19689/pu/28662/28662-1677454816.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-005,"UKPALI P/S - OGBE UTU QUARTERS II, OBIOR",135,715,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1500,0,3,280,https://docs.inecelectionresults.net/elections/1292/1677449232-28664.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-006,"UKPALI P/S - IDUMU OZEI I, OBIOR",137,796,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677448005-28665.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-007,"UKPALI P/S - IDUMU OZEI II, OBIOR",140,699,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677449676-28666.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-008,"OFUOKWU P/S - OGBE AGIDI I, OBIOR",162,703,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19689/pu/28667/28667-1677453172.pdf
DELTA,ANIOCHA NORTH,OBIOR,10-01-01-009,"OFUOKWU P/S - OGBE AGIDI II, OBIOR",135,602,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677448572-28668.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-001,GBONOZA P/S - ISHIEKPE QUARTERS I,248,1199,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28669/28669-1677457883.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-002,GBONOZA P/S - ISHIEKPE QUARTERS II,207,939,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28670/28670-1677452584.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-003,GBONOZA P/S - ISHIEKPE QUARTERS III,184,1002,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677448881-28671.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-004,ANIEMEKA P/S - OGBE KENU QUARTERS I,227,1173,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28672/28672-1677455010.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-005,ANIEMEKA P/S - OGBE KENU QUARTERS II,171,1047,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28673/28673-1677453333.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-006,ISIOJI P/S - OGBE KENU I,147,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28674/28674-1677454151.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-007,ISIOJI P/S - OGBE KENU II,139,889,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28675/28675-1677455870.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-008,IFEYINWA P/S - OGBE OBI QUARTERS I,186,842,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19690/pu/28676/28676-1677454561.pdf
DELTA,ANIOCHA NORTH,ONICHA UGBO,10-01-02-009,IFEYINWA P/S - OGBE OBI QUARTERS II,171,869,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677451197-28677.pdf
DELTA,ANIOCHA NORTH,OBOMKPA,10-01-03-001,"OFUNNE P/S - UKPATU QUARTERS, OBOMKPA",139,912,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3289/ward/19691/pu/28678/28678-1677452073.pdf
