State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-002,C.P.S UMUIGBOKE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-003,NGAMGBO IGWEKEORU,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-004,UMUNOKO AGBOM,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-006,NGAMGBO IGWE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-007,C.P.S. UMOKE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-010,ODELIGBO VILLAGE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-011,NGAMGBO ODELIGBO,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-013,COMM. SCHOOL ORIUZOR,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,IKWO,ENYIBICHIRI,11-07-06-010,EDUKWU AKPURU NKELE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,IKWO,ENYIBICHIRI,11-07-06-011,C.S ENYIBICHIRI,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,IKWO,NDUFU ALIKE,11-07-18-005,IZZAMGBO AGALEGU PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAOZARA,UGBOGOLOGO UGWULANGWU,11-11-07-003,EZUKU UDE NWARISI,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAUKWU,UMU OGUDU OSHIA,11-12-10-003,CENTRAL SCHOOL OKOROGBATA HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAUKWU,UMU OGUDU OSHIA,11-12-10-007,OSHIA NGBO CENTRAL SCHOOL HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAUKWU,UMU OGUDU OSHIA,11-12-10-009,OGUM NGBO COMM. PRIMARY SCHOOL HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,ONICHA,ENUAGU-ONICHA,11-13-05-017,UGWU ODIDA BORE HOLE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,ONICHA,ISINKWO-UKAWU,11-13-06-004,NGAMGBO ANYARIGWE`,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,ONICHA,ISI-ONICHA,11-13-07-004,EZEBE PLAY GROUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,ONICHA,ISI-ONICHA,11-13-07-005,OLD NWORIE UMUBO MARKET SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,ONICHA,ISI-ONICHA,11-13-07-007,UFU OKWOKE TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-015,NGAMGBO EDEGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-017,NGAMGBO IMEABALI,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-018,UGWUOGO P/G,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-019,NGAMGBO AMAINYIMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-023,NGAMGBO EGWUDINAGU,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-025,OKPONGA P/G,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-026,CPS OBULECHI UMORU,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-029,ELIEWHURU,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-031,NGAMGBO ONUZO NWANJA,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,ORIUZOR,11-05-09-032,ONUNWAFOR UMUEZEALI MKT SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,EZZA NORTH,UMUEZEOKA,11-05-11-015,MGBOKO NWURO MKT SQ,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAOZARA,OKPOSI ACHARA,11-11-05-013,OBIAGU MGBOM 'N' ACHARA PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAUKWU,EZZAMGBO,11-12-03-029,OBODO NWENI P/G,0,0,0,0,1,0,1,1,0,0,0,0,0,
EBONYI,OHAUKWU,UMU OGUDU OSHIA,11-12-10-015,EKWEBURU P/G,0,0,0,0,1,0,1,1,0,0,0,0,0,
