State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EBONYI,ABAKALIKI,ABAKPA,11-01-01-001,ADAZI-ENU HALL  I,280,1063,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,247,3,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32274/result_152000_1677517542_thumb.jpg
EBONYI,ABAKALIKI,ABAKPA,11-01-01-005,NIBO/NSUKKA STR JUNCTION I,319,1379,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,45,128,20,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/32278/result_152004_1677519046_thumb.jpg
EBONYI,ABAKALIKI,AMACHI (NDEBO),11-01-02-010,NDIEBO OSHIEKU PLAY GROUND,202,640,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu//10//10-1677401824.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-010,EKETUBE ENYIGBA VILLAGE SQUARE II,187,706,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu//10//10-1677415808.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-011,C.P.S. ISHIAGU ENYIGBA I,388,959,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu//11//11-1677420771.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-012,C.P.S. ISHIAGU ENYIGBA II,210,694,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu//12//12-1677428600.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-013,ALIBARUHU VILAGE SQUARE ENYIGBA,186,402,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu//13//13-1677411467.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-014,NDIAGU NWEDEDEAGU C.P.S,220,794,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu//14//14-1677427266.pdf
EBONYI,ABAKALIKI,AMAGU / ENYIGBA,11-01-04-015,OFEREKPE VILLAGE SQUARE,247,838,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu//15//15-1677410302.pdf
EBONYI,ABAKALIKI,AMAGU UNUHU,11-01-05-010,EDUKWU AMAGU ONICHA,266,674,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu//10//10-1677413960.pdf
EBONYI,ABAKALIKI,AMAGU UNUHU,11-01-05-011,ACHI VILLAGE SQUARE,186,963,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu//11//11-1677420447.pdf
EBONYI,ABAKALIKI,AZUMINI/AZUGWU,11-01-06-006,AZUGWU/ABACHA JUNCTION,394,1771,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,105,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19964/pu/32345/32345-1677677906.pdf
EBONYI,ABAKALIKI,AZUMINI/AZUGWU,11-01-06-009,ELIAS ODILI/ACHI JUNCTION,220,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/6/9/6/9-1677363073.pdf
EBONYI,ABAKALIKI,AZUIYIOKWU LAYOUT,11-01-07-010,EBSU TEACHING HOSPITAL,442,1441,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu//10//10-1677416030.pdf
EBONYI,ABAKALIKI,EDDA,11-01-09-010,OHATEKWE PLAY GROUND,238,681,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu//10//10-1677427737.pdf
EBONYI,ABAKALIKI,EDDA,11-01-09-011,OBOVU PLAY GROUND,236,511,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu//11//11-1677426511.pdf
EBONYI,ABAKALIKI,EDDA,11-01-09-012,OKARIA EDDA,115,282,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu//12//12-1677408549.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-002,EDUKWU ODABARA,195,770,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19968/pu/32387/32387-1677756187.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-009,AZUAMA VILLAGE SQUARE,169,508,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19968/pu/32394/32394-1677679563.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-010,NDIOFUTU PLAY GROUND,133,782,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19968/pu/32395/32395-1677680165.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-011,ONUEBONYI PLAY GROUND,143,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19968/pu/32396/32396-1677682941.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-013,NWAZUNKU ACHI JUNCTION,127,854,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19968/pu/32398/32398-1677755719.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-014,IZUNDU OPEN SAPCE,262,1363,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1160,1,14,479,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu//14//14-1677411804.pdf
EBONYI,ABAKALIKI,IZZI UNUHU,11-01-10-015,ONUIYIOKWU/INYIMAGU JUNCTION,110,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3314/ward/19968/pu/32400/32400-1677679410.pdf
EBONYI,ABAKALIKI,NDIAGU,11-01-11-011,WATER WORKS OPEN SPACE I,140,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu//11//11-1677416592.pdf
EBONYI,ABAKALIKI,NDIAGU,11-01-11-013,OBODOUKWU OPEN SPACE,186,850,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu//13//13-1677413561.pdf
EBONYI,ABAKALIKI,NDIAGU,11-01-11-014,OBI/OBIRI OPEN SPACE,128,515,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu//14//14-1677423813.pdf
EBONYI,ABAKALIKI,NDIAGU,11-01-11-015,ORAERI HALL I,88,494,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu//15//15-1677417158.pdf
EBONYI,ABAKALIKI,NDIAGU,11-01-11-016,ORAERI HALL II,94,554,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu//16//16-1677420847.pdf
EBONYI,ABAKALIKI,OKPOITUMO NDEBOR,11-01-12-001,NDIGWE PLAY GROUND,188,640,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/2/1/2/1-1677397448.pdf
EBONYI,ABAKALIKI,OKPOITUMO NDEBOR,11-01-12-002,HIGH HILL PRIMARY SCHOOL,221,798,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/2/2/2/2-1677397645.pdf
EBONYI,ABAKALIKI,OKPOITUMO NDIEGU,11-01-13-002,EGWUDINAGU NDIEBOR,243,741,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/13/pu/3/2/3/2-1677366714.pdf
