State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EDO,AKOKO EDO,IGARRA II,12-01-02-001,"UTUA I, UTUA PRY SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-002,"UTUA I,  BY AJAYI'S COMP.",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-003,"UTUA I, OPPOSITE CUSTOMARY COURT",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-005,"UTUA I, GODSTIME NURSERY SCHOOL",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-006,"UFA II, IRETOJI PRIMARY SCHOOL",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-007,"UFA II, NR EDEKI'S HOUSE",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-008,"UFA II, BY OVOKO'S HOUSE",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-009,"UFA II, BY OMOLOJU'S COMP.",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-010,"UFA II, UFA HALL",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-011,"UFA II, NR. ADAMAGBO'S HOUSE",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-012,"UFA II, NR. ADAMS HS",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-013,"UFA II, AKUKU P/S I",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IGARRA II,12-01-02-014,"UFA II, AKUKU P/S II",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,12-01-04-012,"IKIRAN,  BY SUBERU HS",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,12-01-04-014,"IKIRAN OKE, MKT. SQUARE",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,12-01-06-001,"OKPE,  IDOGUN PS. I",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,12-01-06-002,"OKPE, IDOGUN  PS. II",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,12-01-06-003,"OKPE, PALACE SQUARE I",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,12-01-06-004,"OKPE, PALACE SQUARE II",0,0,0,0,1,0,1,1,0,0,0,0,0,
EDO,AKOKO EDO,OLOMA/ OKPE/ IJAJA/ KAKUMA/ ANYARA,12-01-06-005,"OKPE, MATERNITY CENTRE",0,0,0,0,1,0,1,1,0,0,0,0,0,
