State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EDO,AKOKO EDO,IGARRA I,12-01-01-006,"UGBOGBO, OPPOSITE L.G. COUNCIL",205,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,38,116,38,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677362466.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-010,UGBOGBO OPPOSITE OGOGORO JUNCTION II,220,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/010/010-1677363288.pdf
EDO,AKOKO EDO,IGARRA I,12-01-01-013,"UGBOGBO, NR. JIMOH OCHIS HOUSE",250,848,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/013/013-1677362173.pdf
EDO,AKOKO EDO,IBILLO/ EKPESA/ EKOR/ IKIRAN-ILE/ OKE,12-01-04-013,"IKIRAN,  BY OSOGBO HS",252,834,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/013/013-1677418978.pdf
EDO,AKOKO EDO,MAKEKE/ OJAH/ DANGBALA/ OJIRAMI/ ANYAWOZA,12-01-05-002,"DANGBALA, DANGBALA P.S. II",372,860,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,125,125,93,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34115/result_152107_1677778201_thumb.jpg
EDO,EGOR,OTUBU,12-02-01-006,"OMO NURSERY PRIMARY SCHOOL,  EVBUOTUBU II",200,750,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34207/result_152256_1677688450_thumb.jpg
EDO,EGOR,OTUBU,12-02-01-008,"EVBUOTUBU PRIMARY SCHOOL,  EVBUOTUBU II",166,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,131,7,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34209/result_152258_1677497247_thumb.jpg
EDO,EGOR,OTUBU,12-02-01-010,"EVBUOTUBU TOWN HALL,  EVBUOTUBU II",0,880,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34211/result_152260_1677688107_thumb.jpg
EDO,EGOR,OTUBU,12-02-01-011,"EVBUOTUBU HEALTH CENTRE,  EVBUOTUBU",155,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34212/result_152261_1677689097_thumb.jpg
EDO,EGOR,OTUBU,12-02-01-012,"ARUOSA PRIMARY SCHOOL,  EVBUOTUBU I",126,657,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,12,94,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/012/012-1677402666.pdf
EDO,EGOR,OLIHA,12-02-02-002,"AUNTY MARIA NUR/PRIMARY SCHOOL, OLIHA II",134,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,16,104,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34220/result_152294_1677520571_thumb.jpg
EDO,EGOR,OLIHA,12-02-02-004,"AUNTY MARIA NUR/PRIMARY SCHOOL, OLIHA  IV",147,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,12,117,7,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34222/result_152296_1677519517_thumb.jpg
EDO,EGOR,OGIDA/USE,12-02-03-019,"USE SCH. SCHOOL, USE II",159,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,15,127,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34251/result_152342_1677703964_thumb.jpg
EDO,EGOR,EGOR,12-02-04-007,"TIPPER GARAGE/MARKET SQUARE,  EGOR I",125,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34259/result_152380_1677688338_thumb.jpg
EDO,EGOR,UWELU,12-02-05-004,"UWELU SEC. SCHOOL,  UWELU I",136,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34265/result_152400_1677492045_thumb.jpg
EDO,EGOR,UWELU,12-02-05-009,"UWELU HEALTH CENTRE,  UWELU I",75,963,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34270/result_152405_1677681000_thumb.jpg
EDO,EGOR,EVBAREKE,12-02-06-011,"EVBAREKE GRAM SCH., EVBAREKE II",157,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34284/result_152442_1677509985_thumb.jpg
EDO,EGOR,USELU I,12-02-07-008,"OLUA PRIMARY SCHOOL,  USELU  I-VI",137,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,12,107,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34298/result_152481_1677493360_thumb.jpg
EDO,EGOR,USELU II,12-02-08-001,"USELU SEC. SCHOOL , USELU II-I",163,1414,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,12,143,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34310/result_152515_1677488252_thumb.jpg
EDO,EGOR,USELU II,12-02-08-010,"GOLDEN TOUCH SEC. SCH. , EDAIKEN III",153,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/010/010-1677384023.pdf
EDO,EGOR,USELU II,12-02-08-017,"EDAIKEN PRIMARY SCHOOL,  EDAIKEN V",127,838,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,16,101,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/017/017-1677389885.pdf
EDO,EGOR,UGBOWO,12-02-10-001,"POPEN SPACE, EGBON STREET(T. JUNCTION) (LGA COUNCIL SECT UGBOWO I-I)",148,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/10/pu/001/001-1677389528.pdf
EDO,EGOR,UGBOWO,12-02-10-002,"POPEN SPACE, EGBON STREET(T. JUNCTION) (LGA COUNCIL SECT UGBOWO I-II)",160,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,1,141,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34350/result_152613_1677579161_thumb.jpg
EDO,EGOR,UGBOWO,12-02-10-010,"UGBOWO PRIMARY SCH., UGBOWO II-II",163,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,145,5,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34358/result_152621_1677588423_thumb.jpg
EDO,EGOR,UGBOWO,12-02-10-013,"ADOLOR COLLEGE,  UGBOWO II-I",164,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,10,139,10,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34361/result_152624_1677581005_thumb.jpg
EDO,ESAN CENTRAL,UNEAH,12-03-01-003,"IBORE PRIMARY SCHOOL , IBORE-III",189,650,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,48,101,36,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34374/result_152689_1677676188_thumb.jpg
EDO,ESAN CENTRAL,UNEAH,12-03-01-004,"IBORE PRIMARY SCHOOL,  IBORE-IV",205,781,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34375/result_152690_1677698077_thumb.jpg
EDO,ESAN CENTRAL,IKEKATO,12-03-04-009,UGBOKHARE PRIMARY SCHOOL/UGBOKHARE II,162,444,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/04/pu/009/009-1677363829.pdf
EDO,ESAN CENTRAL,OTORUWO I,12-03-05-001,AKHO PRY. SCHOL/AKHO I,221,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34408/result_152727_1677611073_thumb.jpg
EDO,ESAN CENTRAL,OTORUWO I,12-03-05-005,EGUARE PRI. SCHOOL/EGUARE II,237,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,35,243,45,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34411/result_152730_1677581114_thumb.jpg
EDO,ESAN CENTRAL,EWU I,12-03-07-008,EGBOR CAMP/EGBOR,142,409,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/07/pu/007/007-1677426605.pdf
EDO,ESAN NORTH EAST,UELEN/ OKUGBE,12-04-04-003,UROMI- OKPUJIE PRIMARY SCHOOL II,151,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,12,122,8,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34493/result_152843_1677570807_thumb.jpg
EDO,ESAN NORTH EAST,UWALOR,12-04-09-001,UWALOR-UWALOR PRIMARY SCHOOL I,184,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34544/result_152937_1677487443_thumb.jpg
EDO,ESAN NORTH EAST,UWALOR,12-04-09-002,UWALOR-UWALOR PRIMARY SCHOOL II,190,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34545/result_152938_1677589980_thumb.jpg
EDO,ESAN NORTH EAST,UWALOR,12-04-09-006,UWALOR- EWOYI PRIAMARY SCHOOL II,201,715,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,11,145,34,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/09/pu/006/006-1677394812.pdf
EDO,ESAN NORTH EAST,EWOYI,12-04-10-001,EWOYI - EWOYI PRIMARY SCHOOL UROMI -I,182,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,26,134,14,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34550/result_152948_1677498242_thumb.jpg
EDO,ESAN NORTH EAST,UBIERUMU,12-04-11-002,UBIERUMU-  ID ISABA PRIMAY SCHOOL II,265,949,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34560/result_152967_1677582657_thumb.jpg
EDO,ESAN SOUTH EAST,EWOHIMI I,12-05-01-009,UZEBU -UZEBU P/SCHOOL,82,382,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,63,19,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/34574/result_152984_1677511842_thumb.jpg
