State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-004,A. U. D. PRY. SCH. / ODO IMOBUN,132,524,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,101,21,31,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20322/pu/36698/36698-1677477598.pdf
EKITI,ADO EKITI,ADO 'A'  IDOFIN,13-01-01-006,ORI EKITI MARKET / ASA EJEMUA COMP.,153,631,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,102,9,38,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20322/pu/36701/36701-1677498531.pdf
EKITI,ADO EKITI,ADO 'D' IJIGBO,13-01-04-003,OPEN SPACE AT IMUGBAGBA MKT. / EGUNLUSI COMP.,155,850,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,99,17,31,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/003/003-1677419904.pdf
EKITI,ADO EKITI,ADO 'D' IJIGBO,13-01-04-005,"IN FRONT OF SANSAYIN'S HOUSE / SANSAYIN, OMOGAME, BASORUN COMP.",143,480,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,92,16,23,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/005/005-1677415193.pdf
EKITI,ADO EKITI,ADO 'D' IJIGBO,13-01-04-007,"POLY BUS STOP , IJIGBO ROUND ABOUT / CHIEF EJIGBO COMPOUND BABATOLA",115,722,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/007/007-1677426975.pdf
EKITI,ADO EKITI,ADO 'D' IJIGBO,13-01-04-012,A.U.D. PRY. SCH. BK. I / OLD BARRACKS AREA,155,795,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20325/pu/36743/36743-1677497702.pdf
EKITI,ADO EKITI,ADO 'D' IJIGBO,13-01-04-018,IN FRONT OF OLUROPORA'S HOUSE / OMOLAYO AREA,361,1628,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,218,63,64,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/018/018-1677424672.pdf
EKITI,ADO EKITI,ADO 'E' IJOKA,13-01-05-010,MARY IMMACULATE AREA / OREREOWU ST. AREA,163,851,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,89,26,33,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/010/010-1677426631.pdf
EKITI,ADO EKITI,ADO 'E' IJOKA,13-01-05-014,IN FRONT OF EKI CINEMA / EKI CINEMA,140,594,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,94,22,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/014/014-1677413266.pdf
EKITI,ADO EKITI,ADO 'F' OKEYINMI,13-01-06-008,IN FRONT OF OLD COUNCIL / ODOGUN AREA,189,767,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/008/008-1677409027.pdf
EKITI,ADO EKITI,ADO 'G' OKE ILA,13-01-07-009,"IN FRONT OF ASALE'S HOUSE / ALARARORI, ASALE, SALIU COMP.",158,696,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,107,5,1338,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/009/009-1677420125.pdf
EKITI,ADO EKITI,ADO 'H' EREGURU,13-01-08-012,BY THE LEFT SIDE OF OGUNLEYE'S HOUSE / OGUNLEYE,113,447,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,65,17,18,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20329/pu/36800/36800-1677514134.pdf
EKITI,ADO EKITI,ADO 'I' DALLIMORE,13-01-09-019,IN FRONT OF BABATUNDE'S HOUSE CHIRST SCH.,227,914,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,122,27,73,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/019/019-1677401354.pdf
EKITI,ADO EKITI,ADO 'K' IRONA,13-01-11-016,AT AKOGUN'S COMP. / OLODE COMP.,213,849,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/11/pu/016/016-1677419720.pdf
EKITI,ADO EKITI,ADO 'L' IGBEHIN,13-01-12-003,PA FAMUYIBO'S HOUSE / FAMUYIBO,160,831,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,8,4,0,7,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20333/pu/36869/36869-1677512072.pdf
EKITI,ADO EKITI,ADO 'M' FARM SETTLEMENT,13-01-13-001,AT CAMP (ITA NLA)  / ITANLA,207,669,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/13/pu/001/001-1677410303.pdf
EKITI,ADO EKITI,ADO 'M' FARM SETTLEMENT,13-01-13-015,AT ITALAORO CAMP. / ITALAORO COMP.,155,401,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3345/ward/20334/pu/36891/36891-1677466854.pdf
EKITI,EFON,EFON   I,13-02-01-001,OKU TAJUROJE IJOKA,132,427,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,54,0,77,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/001/001-1677418970.pdf
EKITI,EFON,EFON   I,13-02-01-005,IJOKO - IJOKO,67,185,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,58,0,7,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/005/005-1677417682.pdf
EKITI,EFON,EFON   I,13-02-01-006,EREKESAN AAFIN TOWN HALL,39,229,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,24,0,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/006/006-1677389927.pdf
EKITI,EFON,EFON    III,13-02-03-008,MOTOR PARK - IDAGBA  I,95,304,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,70,2,20,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/008/008-1677425966.pdf
EKITI,EFON,EFON  IV,13-02-04-009,ST. PETER'S ANG. SCH. - ODI OLOWO  I,113,292,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/009/009-1677387543.pdf
EKITI,EFON,EFON  IV,13-02-04-010,ST. PETER'S ANG. SCH. - ODI OLOWO  II,109,321,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,6,3,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/010/010-1677410245.pdf
EKITI,EFON,EFON  IV,13-02-04-016,C. A. C. PRY. SCH. - ALADURA,41,177,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,25,0,16,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/016/016-1677409687.pdf
EKITI,EFON,EFON   VI,13-02-06-006,ST. STEPHENS P/S - ILOSI   II,83,333,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,48,0,35,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/006/006-1677390363.pdf
EKITI,EFON,EFON   VII,13-02-07-002,NEAR OLORUNETO'S - ATIBA,56,255,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/07/pu/002/002-1677395743.pdf
EKITI,EFON,EFON IX,13-02-09-009,OPPOSITE DISPENSARY  - ILORO EAST   II,115,306,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/09/pu/009/009-1677405398.pdf
EKITI,EFON,EFON   X,13-02-10-001,FRONT OF AJIBOLA'S HOUSE   - IRAYO   I,83,275,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,62,0,14,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/10/pu/001/001-1677377432.pdf
EKITI,EKITI EAST,OMUO - OKE  I,13-03-01-003,ARAGBA ST. / OKELEBOJO / ILEBOJO   II,168,525,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,67,2,62,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3347/ward/20345/pu/37024/37024-1677501714.pdf
EKITI,EKITI EAST,OMUO OKE  II,13-03-02-005,OKERINGUN ST./ ODO ATIBA / DIDI OKERINGUN,257,787,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,186,1,66,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/02/pu/005/005-1677368315.pdf
EKITI,EKITI EAST,KOTA   I,13-03-04-008,IRAFUN ST. - IRAFUN,174,545,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,98,3,71,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3347/ward/20348/pu/37054/37054-1677502150.pdf
EKITI,EKITI EAST,KOTA   II,13-03-05-005,BOLORUNDURO - BOLORUNDURO / OBAJODA  I,209,690,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/005/005-1677418282.pdf
EKITI,EKITI EAST,OBADORE  I,13-03-06-003,EKURUGBE TOWN HALL- EKUREGBE,174,586,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,84,2,82,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/003/003-1677365264.pdf
EKITI,EKITI EAST,OBADORE  III,13-03-08-003,OKEBOLA STREET / OKEBOLA   I,160,406,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/08/pu/003/003-1677362939.pdf
EKITI,EKITI EAST,OBADORE  IV,13-03-09-002,"ST. ANDREWS PRY. SCH. , ILUDOFIN / AYA OYE",352,830,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/09/pu/002/002-1677410267.pdf
EKITI,EKITI EAST,OBADORE  IV,13-03-09-003,AYAALAFE ST. / AYA ALAFE / TELEDALASE,284,662,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/09/pu/003/003-1677412226.pdf
