State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,IGBO ETITI,AKU II,14-07-02-001,USE VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,AKU II,14-07-02-002,UWANI AMAOGBO VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,AKU II,14-07-02-003,UWANI  AMABOKWU,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,AKU II,14-07-02-005,UMUDINGWOJI  VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,AKU II,14-07-02-006,UMUDIMAGADA   VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,OZALLA I,14-07-10-005,C.P.S. OZALLA,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,OZALLA I,14-07-10-009,NDIAGU UMOLUMO VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,OZALLA II,14-07-11-002,UMUEZEREJE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,OZALLA II,14-07-11-005,ODENIGBO SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,OZALLA II,14-07-11-006,UMUEZUGWOKE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,OZALLA II,14-07-11-007,U.P.S. OZALLA,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,UKEHE II,14-07-17-003,EMELUMGINI   CENTRE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO ETITI,UKEHE II,14-07-17-008,UMUOFIAGU PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO EZE NORTH,UMUOZZI III,14-08-13-013,OKPORO ODO-UGWUOKE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO EZE NORTH,UMUOZZI IX,14-08-19-005,C.P.S. UMUOPU UMUEZE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO EZE NORTH,UMUOZZI IX,14-08-19-006,C.P.S. AGUEGO UMUOPU,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,IGBO EZE NORTH,UMUOZZI IX,14-08-19-009,C.P.S. AGUEGO UMUOPU,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-026,EZIORIE MKT SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-027,EZIORIE MKT SQUARE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
ENUGU,NSUKKA,EDEM-ANI,14-13-06-017,OTOBO UWANI VILLAGE HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
