State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
FCT,ABAJI,RIMBA EBAGI,37-01-05-006,RIMBA GWARI/RIMBA GWARI VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,GWAGWALADA,STAFF QUARTERS,37-03-03-003,PHASE  II/OP. UNIVERSITY GATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,GAUBE,37-04-03-003,DIBE PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,KABI,37-04-05-002,KABI MANGORO/PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,RUBOCHI,37-04-06-003,RUBOCHI/ OPE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,RUBOCHI,37-04-06-004,RUBOCHI/UNG. GADE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,RUBOCHI,37-04-06-009,UBO GBAGYI / PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KWALI,DAFA,37-05-05-001,DAFA DADA  /  PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,GARKI,37-06-02-022,DURUMI II/ DURUMI PRI. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,GARKI,37-06-02-023,DUTSE BABA/DUTSE BABA PRI. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,KABUSA,37-06-03-009,LUGBE II / LUGBE PRI. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,WUSE,37-06-04-004,WUZE ZONE II / WUSE I PRI. SCH. 1,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-002,JIWA  I/ JIWA TV VIEWING CENTRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-014,KARMO SABO I/ KARMO PRI. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-018,KARMO SABO V/   KARMO UNGWAR KORO,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,KABUSA,37-06-03-085,TUNDUN WADA VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,KUJE,37-04-01-065,LOW-COST/JEDA PRIMARY SCHOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,KUJE,RUBOCHI,37-04-06-023,ORE VILAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,GWARINPA,37-06-05-102,MAB GLOBAL ESTATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-090,3. ANGWA ADAGURUSU BY OLD DANTATA ROAD KARMO,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-089,2. KARMO TSOHO PRI SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-088,1. BY CHIEF PALACE KARMO-TSOHO,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-084,3. PEAK GENIUS PRI. SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-083,2. OPP. HAKIMI'S HOUSE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-082,1. BY ASSEMBLY OF GOD,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-081,"3. UPPER AREA COURT,KARMO",0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-077,2. OPP.ABATOIR,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-076,1. INFRONT OF ELLAN CLINIC,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-075, LAST GATE BY MOTOR PARK KARMO,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-069,1. BESIDE MAIANGWA SHUAIBU COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-068,"ANGUWAN MAKERA CLOSE TO IGBO MAN CHEMIST SHOP, IDU",0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-064,"IDU SAKADA IN FRONT OF CHIEF PALACE, IDU",0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-063,"KUTARA, IDU NEAR HAKIMI'S PALACE",0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-049,TUNGA MADAKI/ GINDIN CHEDIYA,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,JIWA,37-06-06-046,TAKALAFIYA VILLAGE BEHIND MOSQUE,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,WUSE,37-06-04-049,ZN 2. PRI. SCH. MOMBOLO STR.,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,GARKI,37-06-02-147,IBIM PRINCE WILL STREEET JUNCTION,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,GARKI,37-06-02-134,ORINGO JUNCTION,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,GARKI,37-06-02-083,SIR KESINGTON ADEBUJU JUNCTION BY TRANSFORMER,0,0,0,0,1,0,1,1,0,0,0,0,0,
FCT,MUNICIPAL,CITY CENTRE,37-06-01-061,1. OPEN SPACE BY EARLY STARTERS  DAYCARE JUNCTION,0,0,0,0,1,0,1,1,0,0,0,0,0,
