State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
FCT,ABAJI,NUKU,37-01-06-004,MANDEREGI/MANDEREGI PRIMARY SCHOOL I,279,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,165,10,101,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41867/result_96398_1677583028_thumb.jpg
FCT,ABAJI,YABA,37-01-08-005,MADANI/MADANI PRIMARY SCHOOL,123,250,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,63,0,57,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41877/result_96426_1677576784_thumb.jpg
FCT,BWARI,BWARI CENTRAL,37-02-01-002,BWARI   II  /  CENTRAL PRY. SCHOOL,244,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,21,176,34,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3379/ward/20769/pu/41906/41906-1677452485.pdf
FCT,BWARI,BWARI CENTRAL,37-02-01-007,GABA  /  PRY. SCHOOL,682,2177,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,103,282,251,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41902/result_96474_1677579992_thumb.jpg
FCT,BWARI,KUDURU,37-02-02-001,BWARI  /  TUDUN WADA/JAMB SECRETARIAT I,203,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1000,1,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/001/001-1677397331.pdf
FCT,BWARI,KUDURU,37-02-02-003,BWARI STAFF QTRS  /  SECURITY POST FGGC.,467,1203,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/003/003-1677387261.pdf
FCT,BWARI,IGU,37-02-03-004,PANUNUKE  /  PANUNUKE VILLAGE SQUARE,190,564,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/004/004-1677391089.pdf
FCT,BWARI,IGU,37-02-03-005,IGU KORO   /  INFRONT OF CHIEF'S PALACE,0,1217,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/005/005-1677368475.pdf
FCT,BWARI,USHAFA,37-02-06-001,USHAFA I & II/USHAFA PRIMARY SCHOOL,358,2336,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,111,511,89,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41932/result_96613_1677579137_thumb.jpg
FCT,BWARI,DUTSE ALHAJI,37-02-07-006,MPAPE I/MPAPE PRIMARY SCHOOL,245,774,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,34,179,22,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/41941/result_96655_1677579951_thumb.jpg
