State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-008,UMUAFOR VILLAGE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-013,VILLAGE SQUARE (OPP. BLOCK ROSARY HALL),0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-015,COMMUNITY SCHOOL EGBELU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-017,CENTRAL SCHOOL  EGBELU UMUHU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-AHIATO,16-01-02-001,COMMUNITY SCHOOL UMUEZII I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWENKWO,16-01-03-003,UMUCHIEZE HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWENKWO,16-01-03-012,OGWU OKWU PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWEKE,16-01-04-003,UMUEZEAMA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWEKE,16-01-04-004,CHOKONEZE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWEKE,16-01-04-005,GROUP SCHOOL EZUHU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWEKE,16-01-04-006,TOWN SCHOOL UMUAMAECHI,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,NGURU-NWEKE,16-01-04-013,UMUNGOMA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-005,"COMMUNITY SCHOOL, MBUTU",0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-006,OZARA VILLAGE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-007,"CENTRAL SCHOOL, MBUTU",0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-008,UBAHI VILLAGE SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-009,OGBOR VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-012,"GROUP SCHOOL, MBUTU",0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-014,EGBELUBI VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,MBUTU,16-01-05-018,MGBARAOJI VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,UVURU II,16-01-07-005,UMUACHALU HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,AMUZU,16-01-09-002,COMMUNITY SCHOOL UMUOGU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,AMUZU,16-01-09-004,NRIUKWU CIVIC HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,UMUHU,16-01-10-001,TOWN SCHOOL UMUHU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,UMUHU,16-01-10-004,UMUOFUGA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,UMUHU,16-01-10-008,EZUHU TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,LAGWA,16-01-11-002,OBO TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,IBEKU,16-01-12-003,TOWN SCHOOL IBEKU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,IBEKU,16-01-12-005,UMUBA TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,IBEKU,16-01-12-007,EKE IBEKU MARKET SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,ABOH MBAISE,IBEKU,16-01-12-008,UMUOKWU TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OTULU/AGUNEZE,16-02-02-001,UMUAGU HALL OTULU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OTULU/AGUNEZE,16-02-02-004,UMUOYAA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OTULU/AGUNEZE,16-02-02-008,UMUIREM HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OTULU/AGUNEZE,16-02-02-011,COMMUNITY SCHOOL AGUNEZE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,ORU-NA-LUDE,16-02-03-006,UMUDIMUGWE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,ORU-NA-LUDE,16-02-03-008,COMMUNITY SCHOOL LUDE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,ORU-NA-LUDE,16-02-03-009,COMMUNITY SCHOOL LUDE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,NNARAMBIA,16-02-04-003,AHIARA TECH. SEC. SCHOOL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-002,CIVIC HALL UMEZUO,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-004,OKIRIKA AMA HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-006,GROUP SCHOOL UMUOKIRIKA,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-007,UMUGWA VILLAGE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-008,TOWN SCHOOL UMUOKIRIKA,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-010,UMUAGBAVU TOWN HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-001,AHIARAMA/UMUAKALOR COURT,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-003,UMUELU/UMUOKORO TOWN SCHOOL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-004,UMUELU/UMUOKORO TOWN SCHOOL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-005,UMUAKALI/UMUOBI/UGWU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-008,UMUDIWUKWAKU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-009,GROUP SCHOOL AKABOR I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,AMUZI/IHENWORIE,16-02-06-019,UMUODU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWEKE,16-02-07-002,UMUAKAM SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OKIRIKA NWEKE,16-02-07-006,COMMUNITY SCHOOL AKPIM II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,OPARANADIM,16-02-10-006,IHITTE UBI COMMUNITY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,AHIAZU MBAISE,UMUNUMO/UMUCHIEZE,16-02-11-006,COMMUNITY SCHOOL ISIOKPU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,AGBAJA,16-03-01-006,COMMUNITY PRIMARY SCHOOL ABOSI,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,AGBAJA,16-03-01-009,COMMUNITY PRIMARY SCHOOL MGBAM/OFA,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,NSU 'A' IKPE,16-03-03-003,CENTRAL SCHOOL UMUAKAGU NSU I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,NSU 'A' IKPE,16-03-03-009,CENTRAL SCHOOL EZEOKE NSU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUALUMAKU/UMUIHIM,16-03-06-009,ALAIYI HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE I,16-03-10-006,UMUONYIA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-002,CENTRAL SCHOOL HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-003,TOWN HALL UMUNAKARU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-004,COMP. SEC. SCHOOL. U'EZE  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-005,DIKENNE-ATO HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-006,UMUOPARAIWE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-010,UMUELEKE-AMA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EHIME MBANO,UMUEZE II/UMUELEKE,16-03-11-013,NNUHAEZE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,AMUMARA,16-04-01-004,OKOHIA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,AMUMARA,16-04-01-008,CENTRAL SCHOOL AMAUMARA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,AMUMARA,16-04-01-010,ISIAMA N-NDARA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,ITU,16-04-02-005,NKWO NA-OKPUALA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OKPOFE / EZEAGBOGU,16-04-03-014,UMUNACHI HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,UDO-NA-OBIZI,16-04-09-003,TOWN SCHOOL OBIZI,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,UDO-NA-OBIZI,16-04-09-007,AMUDI HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,UDO-NA-OBIZI,16-04-09-011,OVURUKWU OBIZI,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-001,EZIALA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-002,UMUOMAOKE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-003,OBIAKA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-004,OPARACHI HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-005,COMM. SCHOOL IHITTE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-006,UMUOKWURU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-007,UMUOKWURU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-008,UMUOCHAM HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-009,UMUNAGBOR HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-010,GROUP SCHOOL IHITTE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-011,AMAUKWU OKOROMIRI SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,IHITTE,16-04-10-012,UMUNAGBOR HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-001,COMM. SCHOOL OBOAMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-002,OTASI SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-003,UMUEKWERE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-004,UMUODOKO SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-005,NKWO OGBOR,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-006,AMORJI SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-007,OBOAMA/UMUNAMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,OBOAMA/UMUNAMA,16-04-11-008,OBOAMA/UMUNAMA/UMUOSHI HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-001,CENTRAL SCHOOL AKPODIM I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-002,CENTRAL SCHOOL AKPODIM II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-003,UMUAKAM HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-004,AFOR AKPODIM SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-005,UMUDIM UKWU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-006,OWUTU HALL IFE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-007,TOWN SCHOOL IFE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-008,UMUAGOM HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-009,UMUOWURU HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-013,NRII HALL IFE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-014,OFEAMA HALL IFE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-015,OFEAMA HALL IFE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-016,CENTRAL SCHOOL UNEZE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-017,CENTRAL SCHOOL CHOKONEZE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-018,COMM. SCHOOL CHOKONEZE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-022,EGBELU OKPURULO SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,EZINIHITTE MBAISE,CHOKONEZE/AKPODIM/IFE,16-04-12-023,EMEDIKE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,ISIOKPO,16-05-02-007,AFFOR COMMUNITY CENTRAL SCHOOL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,ISIOKPO,16-05-02-011,DURUEWURU VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,UMUOKWARA/UMUEZEAGA,16-05-03-001,CENTRAL SCHOOL I AKOKWA,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,UMUOKWARA/UMUEZEAGA,16-05-03-011,UMUOKWARA HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,OBODOUKWU,16-05-09-010,C/S II OBODOUKWU,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,OBODOUKWU,16-05-09-011,UMUAGBADAGWO HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,OSINA,16-05-10-004,EZIHE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO NORTH,OZUAKOKI/UMUAGO,16-05-13-019,UMUAGO VILLAGE HALL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO SOUTH,ISIEKENESI I,16-06-03-002,UMUAGHOBE VILLAGE HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
IMO,IDEATO SOUTH,OGBOKO II,16-06-09-002,EKENTA MARKET SQ.,0,0,0,0,1,0,1,1,0,0,0,0,0,
