State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
IMO,ABOH MBAISE,ENYIOGUGU,16-01-01-005,COMMUNITY SCHOOL EZIALA,175,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,136,30,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677394740.pdf
IMO,ABOH MBAISE,MBUTU,16-01-05-013,UMUEZE TOWN HALL,115,492,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,8,61,41,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/013/013-1677385848.pdf
IMO,ABOH MBAISE,MBUTU,16-01-05-015,OBOKWU VILLAGE SQUARE,81,604,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/015/015-1677389154.pdf
IMO,ABOH MBAISE,LORJI,16-01-08-005,CENTRAL SCHOOL LORJI II,158,819,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,9,88,31,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/005/005-1677388431.pdf
IMO,ABOH MBAISE,UMUHU,16-01-10-006,COMMUNITY SCHOOL UMUHU,118,660,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/006/006-1677398967.pdf
IMO,AHIAZU MBAISE,OGBE,16-02-01-003,UMUIHIOKWU TOWN OGBE,169,858,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,9,139,15,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/003/003-1677367224.pdf
IMO,AHIAZU MBAISE,OGBE,16-02-01-006,UMUOKEAWA HALL,217,996,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,10,178,26,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/006/006-1677368100.pdf
IMO,AHIAZU MBAISE,NNARAMBIA,16-02-04-002,COMMUNITY SCHOOL NNARAMBIA II,51,221,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/002/002-1677360708.pdf
IMO,AHIAZU MBAISE,NNARAMBIA,16-02-04-008,AHIARA TECH. SEC. SCHOOL,210,834,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,12,180,14,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/008/008-1677362754.pdf
IMO,AHIAZU MBAISE,OKIRIKA NWENKWO,16-02-05-003,OLD ST. PATRICKS,184,697,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/05/pu/003/003-1677370651.pdf
