State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
JIGAWA,AUYO,AUYO,17-01-01-002,AUYO VETNARY - VETNARY,346,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,103,3,72,152,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48142/result_106504_1677509209_thumb.jpg
JIGAWA,AUYO,GAMAFOI,17-01-05-002,AGAMO K. FADA AGAMO,245,450,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48186/result_106566_1677591263_thumb.jpg
JIGAWA,AUYO,UNIK,17-01-10-001,UNIK PRI. SCH. UNIK BABBA,401,820,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1239,0,129,25,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48231/result_106623_1677510761_thumb.jpg
JIGAWA,AUYO,UNIK,17-01-10-003,"SHINGEN GABAS K. FADA, SHINGEN GABAS",301,722,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,208,0,61,27,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48233/result_106625_1677511079_thumb.jpg
JIGAWA,BABURA,BATALI,17-02-02-003,HAMMADI/HAMMADI,171,490,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,67,0,69,7,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/48268/result_106676_1677829400_thumb.jpg
JIGAWA,BABURA,DORAWA,17-02-03-002,DANMAKERI/DANMAKERI,196,431,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/002/002-1677424581.pdf
JIGAWA,BABURA,DORAWA,17-02-03-003,DORAWA PRI. SCH. DORAWA,402,838,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/003/003-1677425186.pdf
JIGAWA,BABURA,DORAWA,17-02-03-004,DORAWA WAJE/DORAWAWAJE,89,180,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/004/004-1677425595.pdf
JIGAWA,BABURA,DORAWA,17-02-03-005,RAFIN TSAMIYA PRI.SCH,243,843,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/005/005-1677427289.pdf
JIGAWA,BABURA,DORAWA,17-02-03-006,GIDAN GANJI/GIDAN GANJI,220,363,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/006/006-1677426076.pdf
