State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-005,ISLAMIYA PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,MAGAJIN GARI II,18-01-02-022,UNG. GOBIRAWA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,GAYAM,18-01-04-005,POLE WAYA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,GAYAM,18-01-04-007,LABI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,GAYAM,18-01-04-008,KOFAR GIDAN M/UNG.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,GAYAM,18-01-04-009,RUMANA PRY. SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,GAYAM,18-01-04-010,RUMANA GWARI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,GAYAM,18-01-04-021,RAFIN KURA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,TABANNI,18-01-08-003,LAYIN LASAN PRI. SCH. I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,TABANNI,18-01-08-012,UNG. DAN-GADO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-001,RANDAGI PRY. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-002,TV. CENTRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-009,DAWAKIN BASA PRI SCH,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-010,PRY. SCH. KUKI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-011,K.M. IMAGU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-013,NASARAWA PRY. SCH. II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-015,K.M. M/KIGANA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-016,UNG. SHIRYA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-017,UNG. ADDA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,CHIKUN,UNG. YELWA,18-02-11-017,BAKA STREET/ K/G ISHAYA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KADUNA,CHIKUN,UNG. YELWA,18-02-11-018,SABON YELWA/ L.E.A PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
