State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KADUNA,BIRNIN GWARI,MAGAJIN GARI I,18-01-01-001,EDUCATION OFFICE,203,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,999,0,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3449/ward/21527/pu/51761/51761-1677694595.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI II,18-01-02-007,DOGON HAWA PRY. SCH.,151,534,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,115,10,15,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51688/result_111054_1677882458_thumb.jpg
KADUNA,BIRNIN GWARI,MAGAJIN GARI II,18-01-02-017,V.I.O. OFFICE,254,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677752927-51789.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI II,18-01-02-021,TUDUN JEGA PRY. SCH.,235,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677759389-51793.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI II,18-01-03-001,TUDUN JEGA PRY. SCH.,235,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677759389-51793.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-002,OLD SAULAWA PRY. SCH.,14,787,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677784257-51796.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-003,NEW SAULAWA,22,958,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677785776-51797.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-004,UNG. NACHIBI I,27,530,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677784910-51798.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-005,UNG. NACHIBI II,30,588,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677787989-51799.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-006,UNG. GOBIRAWA,34,565,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677799119-51800.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-007,MAGANDA PRY. SCH,116,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677797765-51801.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-008,K.M. MAGANDA PRY. SCH.,147,796,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677796901-51802.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-009,UNG.GORON DUTSE,31,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677796305-51803.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-010,GWASKA PRY. SCH.,18,691,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677803245-51804.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-013,KWAIGAN MAGAJI,0,361,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677801420-51807.pdf
KADUNA,BIRNIN GWARI,MAGAJIN GARI III,18-01-03-016,TASHAN LEDA,30,434,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677808500-51810.pdf
KADUNA,BIRNIN GWARI,KAZAGE,18-01-06-008,K.M. KINASHI,238,518,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51768/result_111169_1677909311_thumb.jpg
KADUNA,BIRNIN GWARI,KAKANGI,18-01-07-006,SABON GARI/SABON LAYIN ,71,456,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,52,0,18,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51784/result_111189_1677906983_thumb.jpg
KADUNA,BIRNIN GWARI,KAKANGI,18-01-07-014,UNG. KIYAFA,0,221,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,35,0,15,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51792/result_111197_1677907440_thumb.jpg
KADUNA,BIRNIN GWARI,DOGON DAWA,18-01-09-003,DOGON-DAWA PRY. SCH. I,64,994,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,27,0,35,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51818/result_111228_1677799427_thumb.jpg
KADUNA,BIRNIN GWARI,DOGON DAWA,18-01-09-004,DOGON-DAWA PRY. SCH. I,64,994,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51818/result_111228_1677799427_thumb.jpg
KADUNA,BIRNIN GWARI,DOGON DAWA,18-01-09-011,UNG. RAFIN GORA,20,325,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,58,1,46,4,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51826/result_111236_1677799966_thumb.jpg
KADUNA,BIRNIN GWARI,KUTEMESI,18-01-10-007,KOFAR MUSA,87,412,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51838/result_111250_1677801204_thumb.jpg
KADUNA,BIRNIN GWARI,KUTEMESI,18-01-10-015,UNG. MADOBIYA,40,469,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,20,0,19,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/51847/result_111259_1677801753_thumb.jpg
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-003,K.M. RANDAGI,204,835,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677840086-51945.pdf
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-004,K.M. UKUGA,114,467,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677842335-51946.pdf
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-005,K.M. S/KUNUN/GAYYA,69,396,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677842046-51947.pdf
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-006,K.M. KIMBI,111,717,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,936,14,16,846,https://docs.inecelectionresults.net/elections/1292/1677842437-51948.pdf
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-007,K.M. IJINGA,87,400,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1429,3,69,882,https://docs.inecelectionresults.net/elections/1292/1677844996-51949.pdf
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-008,KUGI PRY. SCH.,77,1120,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677844787-51950.pdf
KADUNA,BIRNIN GWARI,RANDAGI,18-01-11-012,NASARAWA PRY. SCH. I,92,522,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections/1292/1677845100-51954.pdf
