State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KANO,AJINGI,GURDUBA,19-01-07-011,"MALAWA GAWA, MALAWA PS",0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,ALBASU CENTRAL,19-02-01-005,JIGAR,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,ALBASU CENTRAL,19-02-01-007,TAREFA/BAGGAW0,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,BATAIYA,19-02-02-009,MANGARI- GARI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,DAHO,19-02-04-007,FARANTAMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,FARAGAI,19-02-06-001,CHILORI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,FARAGAI,19-02-06-005,FARAGA P.S. (FARAGAI)  I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,GAGARAME,19-02-07-001,AMINADAN,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,TSANGAYA,19-02-10-001,BIYAURI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,TSANGAYA,19-02-10-008,LEKIRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,TSANGAYA,19-02-10-010,TSALAWA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,TSANGAYA,19-02-10-013,TSANGAYA GARI II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,TSANGAYA,19-02-10-014,TSANGAYA ISLAMIYA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,ALBASU,TSANGAYA,19-02-10-015,TSANGAYA ISLAMIYA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BAGWAI,BAGWAI,19-03-01-014,RINJI II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BAGWAI,KWAJALI,19-03-06-004,KWAJALI PRI. SCH. I (KWAJALI C/GARI I),0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BAGWAI,KWAJALI,19-03-06-010,TUGA MALA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-001,CHEZAWA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-002,DANBUBU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-003,DAWAKI DOGO I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-004,DAWAKI DOGO II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-005,DURMAWA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-006,DURMAWA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-007,GARAUCHI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-008,KANKARIMBO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-009,KARIYA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-010,TUGGU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-011,UNGUWAR KWAR,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BEBEJI,DURMAWA,19-04-05-012,ZANGO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BICHI,BADUME,19-05-01-002,BADUME P.S II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BICHI,BADUME,19-05-01-011,SABO KANAWA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BICHI,BADUME,19-05-01-015,TSAURE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KANO,BICHI,BADUME,19-05-01-021,YANLEMAN,0,0,0,0,1,0,1,1,0,0,0,0,0,
