State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KANO,AJINGI,AJINGI,19-01-01-001,"DUGWAL, NEAR H/H HOUSE I",198,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,56,0,27,84,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56771/result_119037_1677529758_thumb.jpg
KANO,AJINGI,AJINGI,19-01-01-002,"DUGWAL,NEAR H/H HOUSE II",302,900,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,61,4,4,217,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56863/56863-1677521767.pdf
KANO,AJINGI,AJINGI,19-01-01-005,"MALIKAWA/ZARAWA, AJINGI YAMMA PS II",279,739,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,40,0,7,195,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56866/56866-1677527405.pdf
KANO,AJINGI,BALARE,19-01-02-001,"ANCHACHA/KAUDAI, KAUDAI ROAD SIDE - (ROAD)",180,680,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56882/56882-1677516419.pdf
KANO,AJINGI,BALARE,19-01-02-002,"BALARE GABAS, BALARE P. S. I",157,676,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56883/56883-1677518061.pdf
KANO,AJINGI,BALARE,19-01-02-003,"BALARE GABAS, BALARE P. S. II",172,623,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56884/56884-1677518761.pdf
KANO,AJINGI,BALARE,19-01-02-004,"BALARE GABAS, BALARE P. S. III",179,563,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,642,3,21,1378,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56885/56885-1677517649.pdf
KANO,AJINGI,BALARE,19-01-02-005,"BALARE YAMMA, BALARE P. S.",188,657,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56886/56886-1677519458.pdf
KANO,AJINGI,BALARE,19-01-02-006,"CHIROMAWA, TSAMIYAR GAWO",193,503,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56887/56887-1677521715.pdf
KANO,AJINGI,BALARE,19-01-02-007,"FULATAN C/GARI, FULANTAN PS",133,392,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56888/56888-1677521390.pdf
KANO,AJINGI,BALARE,19-01-02-008,"FULANTAN GABAS, FULATAN CLINIC",140,518,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21783/pu/56889/56889-1677519113.pdf
