State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KATSINA,BAKORI,BAKORI B,20-01-02-005,BAKORI GARI III - RAMALAN PRI SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,DAWAN MUSA,20-01-04-003,KADAN YAR BAUSHE - K/G MAI UNG.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,DAWAN MUSA,20-01-04-004,DANBATTA - TAMARKE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,DAWAN MUSA,20-01-04-005,UNG YARI BASO - K/G YARI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,DAWAN MUSA,20-01-04-006,UNG WAZIRI - KANAWA PRI.SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,DAWAN MUSA,20-01-04-009,GIDAN NAKULUWA - K/G MAI UNG.,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,DAWAN MUSA,20-01-04-011,RAFIN GORA II - UNG GABAS,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,TSIGA,20-01-05-001,TSIGA GUBAS  K/G. LITIN WAZIRI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,TSIGA,20-01-05-010,UJI A - K/G MAI UNG,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,BAKORI,GUGA,20-01-10-012,DANJABA II - K/G ALH. AIYO YANSHUNI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-001,KOFAR BARU I GIDAN FAMFO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-002,KOFAR BARU II DAN MAINNA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-003,KOFAR BARU III GIDAN NIYAM,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-004,UNGUWAR KUDU I S. YAKI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-005,UNGUWAR KUDU II GIDAN BAKI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-006,UNGUWAR KAURA I DAKIN SHARAR DOLE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-007,UNG. KAURA KUSA DA INJIN ALI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-008,UNGUWAR KAURA III KOFAR M. SANI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KATSINA,DAURA,SARKIN YARA A,20-10-01-009,UNGUWAR LIMAN I GINDIN FAMFO,0,0,0,0,1,0,1,1,0,0,0,0,0,
