State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KATSINA,BAKORI,BAKORI A,20-01-01-002,BAKORI GARI II -NADABO PRI. SCH.,238,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,61,0,119,52,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64847/result_130260_1677607610_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-003,BAKORI III - K/G TALBAN BAKORI,400,1094,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,102,0,225,43,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64848/result_130261_1677617840_thumb.jpg
KATSINA,BAKORI,BAKORI A,20-01-01-014,TASHAR GUGA III MARABAR DANJA K/G MAKAMA,285,990,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,140,0,137,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64859/result_130272_1677599847.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-001,ZAGE-ZAGI -PRI.SCH. ZAGE-ZAGI,290,712,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64860/result_130287_1677605554_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-007,UNG. YARO - K/G MAI UNG.,243,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64866/result_130293_1677606018_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-013,DANFULANI - DANFULANI K/G MAI.UNG,138,680,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64872/result_130299_1677608552_thumb.jpg
KATSINA,BAKORI,BAKORI B,20-01-02-015,UNG. SAMBO II - K/G MAI UNG AND YARA AREA,245,904,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64874/result_130301_1677608295_thumb.jpg
KATSINA,BAKORI,KABOMO,20-01-06-001,KABOMO GARI I - PRI. SCHOOL,339,1526,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64932/result_130402_1677593984_thumb.jpg
KATSINA,BAKORI,KABOMO,20-01-06-012,KUKA - UNG KUKA,188,445,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64943/result_130413_1677614019_thumb.jpg
KATSINA,BAKORI,JARGABA,20-01-08-007,UNG NOMA - K/G ALH.GARBA,226,747,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64970/result_130447_1677623581_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-001,GUGA GARI I - MODEL PRI. SCHOOL,314,730,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64993/result_130472_1677621046_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-002,GUGA GARI II - GUGA DISPENSARY,337,897,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64994/result_130473_1677595999_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-003,GUGA GARI III - K/G SARIN FAWA,312,809,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64995/result_130474_1677621798_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-004,HADO I MAI GOJE PRI SCHOOL,133,733,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,834,10,56,1094,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64996/result_130475_1677599130_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-005,HADO II - K/G MAI BAKA,206,440,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64997/result_130476_1677596974_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-007,RUNJI - K/G MAI UNG,215,456,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/64999/result_130478_1677595651_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-009,UNG UMMARU - K/G BELLO DANBARAU,245,502,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65001/result_130480_1677599723_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-011,DANJABA I - K/G MAI UNG. NA DOMA,356,758,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65003/result_130482_1677623136_thumb.jpg
KATSINA,BAKORI,GUGA,20-01-10-013,DANJABA III - DANJABA JUNCTION,200,500,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1351,14,45,415,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65005/result_130484_1677600677_thumb.jpg
KATSINA,BAKORI,KANDARAWA,20-01-11-005,UNG  UMMARU I K/G WAKILIN MAIGARI,235,666,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65010/result_130492_1677534583_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-002,YANDADI YANDADI OPEN SPACE,119,256,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,37,1,71,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65019/result_130502_1677591537_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-005,BORAGUNDURA -BORAGUNDURA,146,852,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,111,0,29,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65022/result_130505_1677593109_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-006,BORAGUNDURA -BORAGUNDURA,146,852,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65022/result_130505_1677593109_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-011,BAT. LOW COAST - PRI. SCHOOL,376,1686,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65028/result_130511_1677588097_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-012,BAT. DIISPENSARY - DISPENSARY,276,1045,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65029/result_130512_1677602539_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-015,MARNA ZANNABU - MARNA ZANNABU,329,872,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65032/result_130515_1677588700_thumb.jpg
KATSINA,BATAGARAWA,BATAGARAWA A,20-02-01-017,FAGE - FAGE OPEN SPACE,369,789,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65033/result_130516_1677600919_thumb.jpg
