State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KEBBI,AREWA,BUI,21-02-01-001,ASARARA PRIMARY SCHOOL (ASAKARA ),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,BUI,21-02-01-017,U/BOKA PRIMARY SCHOOL (U/BOKA),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,GORUN DIKKO,21-02-04-001,G/DIKKO PRIMARY SCHOOL (G/DIKKO),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,GUMUMDAI/RAFIN TSAKA,21-02-07-003,GUMKI PRIMARY SCHOOL (GUMKI),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,GUMUMDAI/RAFIN TSAKA,21-02-07-009,RAFIN TSAKA PRIMARY SCHOOL (RAFIN TSAKA),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,LAIMA/JANTULLU,21-02-09-009,TSAMIYA PRIMARY SCHOOL (TSAMIYAR DAJI ),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,SARKA/DANTSOHO,21-02-10-007,KUKA BAKWAI PRIMARY SCHOOL (KUKA BAKWAI),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AREWA,SARKA/DANTSOHO,21-02-10-014,ZAGABU PRIMARY SCHOOL (ZAGABU ),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,ARGUNGU,DIKKO,21-03-02-008,GIDAN HOMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,BAYAWA NORTH,21-04-04-001,BAYAWA POLICE STATION (BAYAWA GARKAR KYALA),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,BAYAWA NORTH,21-04-04-007,DAFASHI DISPENSIRY (DAFASHI),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,BAYAWA NORTH,21-04-04-008,DAFASHI PRI SCHOOL (DAFASHI/GAZURA),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,BAYAWA NORTH,21-04-04-009,KWARKWAR PRI. SCHOOL (WARKWARI),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,BAYAWA SOUTH,21-04-05-001,JABAKA DISPENSIRY (JABAKA KAWARI),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,TIGGI/AWADE,21-04-09-012,SHAFARMA PRIMARY SCHOOL (SHAFARMA ),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,YOLA,21-04-10-006,TUNGAR LEMA PRIMARY SCHOOL (TUNGAR LEMA),0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,AUGIE,YOLA,21-04-10-011,TUWUN TSORO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BAGUDO/TUGA,21-05-01-021,GARIN-YIDI FADA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BAHINDI/BOKI-DOMA,21-05-02-007,TUNGAN MARAFA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-001,BANI  I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-002,BANI II,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-003,TUNGAN MALLAM MAISHANU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-004,GIDAN - ZANA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-005,TAFAMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-007,SAMBE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KEBBI,BAGUDO,BANI/TSAMIYA/KALI,21-05-03-008,SHANGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
