State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KEBBI,ALIERO,ALIERO  DANGALADIMA I,21-01-01-001,OPEN SPACE OPPOSITE MARKET BAREBARI (BAREBARI),273,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1500,0,25,80,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677411102.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA I,21-01-01-002,OPEN SPACE OPPOSITE MARKET FILIN ANGO (FILIN ANGO),292,829,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,76,17,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/002/002-1677397965.pdf
KEBBI,ALIERO,ALIERO  DANGALADIMA II,21-01-02-001,MODEL PRIMARY SCHOOL GUMBIN DARI (GUMBIN DARI),244,640,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677428520.pdf
KEBBI,ALIERO,ALIERO S/FADA I,21-01-03-005,ATTAHIRU MODEL PRIMARY SCHOOL SABON GARI (SABON GARI),183,947,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677369566.pdf
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-001,OPEN SPACE OPPOSITE BOREHOLE DORAWAI (DORAWAI),231,456,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22630/pu/70461/70461-1677491171.pdf
KEBBI,ALIERO,ALIERO S/FADA II,21-01-04-007,MODEL PRIMARY SCHOOL RUNTUWA (RUNTUWA),193,544,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22630/pu/70467/70467-1677492023.pdf
KEBBI,ALIERO,JIGA BIRNI,21-01-06-004,OPEN SPACE MAGORAWA  (MAGORAWA),237,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/004/004-1677368257.pdf
KEBBI,ALIERO,KASHIN ZAMA,21-01-08-003,OPEN SPACE FADA I (FADA I),367,577,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,176,0,179,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22634/pu/70485/70485-1677488940.pdf
KEBBI,ALIERO,KASHIN ZAMA,21-01-08-004,OPEN SPACE FADA II (FADA II),292,546,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,142,1,147,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69791/result_136984_1677486529_thumb.jpg
KEBBI,ALIERO,RAFIN BAUNA,21-01-09-001,MODEL PRIMARY SCHOOL RAFIN MUDI (RAFIN MUDI),249,356,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,141,0,0,107,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/001/001-1677375767.pdf
KEBBI,ALIERO,RAFIN BAUNA,21-01-09-002,MODEL PRIMARY SCHOOL UNGUWAR ALU DAN FILI (UNGUWAR ALU DANFILI),279,511,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/002/002-1677365907.pdf
KEBBI,ALIERO,RAFIN BAUNA,21-01-09-006,MODEL PRIMARY SCHOOL UNGUWAR LAWAL DAN FILI (UNGUWAR LAWAL DANFILI),365,750,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,69,1,92,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/006/006-1677374807.pdf
KEBBI,ALIERO,SABIYAL,21-01-10-003,MODEL PRIMARY SCHOOL DAN FILI (DANFILI),185,400,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3550/ward/22636/pu/70498/70498-1677493146.pdf
