State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KOGI,ADAVI,ADAVI-EBA,22-01-05-005,DISPENSARY QUARTERS ADAVI-EBA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,ADAVI,ADAVI-EBA,22-01-05-013,LGEA SCH. ST. PAUL ADAVI-EBA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,ANKPA,ANKPA  I,22-03-04-006,"IKANEKPO ETEKE, BY MARKET SQUARE",0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,ANKPA,ANKPA II,22-03-05-002,"ABACHE, L.G.E.A. SCHOOL",0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,IKENDE,22-04-05-006,GBAMU LGEA SCHOOL GBAMU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,IKENDE,22-04-05-009,ELEGEJI LGEA SCHOOL ELEGEJI,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,IKENDE,22-04-05-012,ODULO OPEN SPACE ODULO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-001,GBOLOKO I OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-002,GBOLOKO II LGEA CENTRAL SCHOOL GBOLOKO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-003,ADUM-WOIWO LGEA SCHOOL ADUM-WOIWO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-004,"EMI-BOCI LGEA SCHOOL, EMI-BOCI",0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-005,AKABE-EMI-LAFIA OPEN SPACE AKABE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-006,OLOWA NEAR MARKET SQUARE OLOWA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-007,"EFFIN LGEA SCHOOL, EFFIN",0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-008,EMI-DEDEBA LGEA SCHOOL EMI-DEDEBA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-009,EKIDO OPEN SPACE EKIDO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-010,TAKETE LGEA SCHOOL TAKETE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-011,ATSAGBA-AGEDEGI OPEN SPACE ATSAGBA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-012,EMI-DALE-ANIKAO OPEN SPACE EMI-DALE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-013,EMI-AUDU OPEN SPACE EMI-AUDU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-014,EMI-ERONU LGEA SCHOOL EMI-ERONU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-015,NYANKPO OPEN SPACE NYANKPO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-016,EMI-AKPAMO - YAKUBU OPEN SPACE EMI-AKPAMO,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,GBOLOKO,22-04-06-017,GBOLOKO I OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,KPATA,22-04-07-003,SHINTAKU MAIN LGEA SCHOOL SHINTAKU,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,KPATA,22-04-07-005,EMI-ABAIDA OPEN SPACE EMI-ABAIDA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,KPATA,22-04-07-006,KPATA (MAIN) LGEA SCHOOL KPATA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,KPATA,22-04-07-007,KPATA KPALE LGEA SCHOOL KPATA KPALE,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,KPATA,22-04-07-008,ATAKPA LGEA SCHOOL ATAKPA,0,0,0,0,1,0,1,1,0,0,0,0,0,
KOGI,BASSA,EFORO,22-04-08-001,"EFORO LGEA SCHOOL, EFORO",0,0,0,0,1,0,1,1,0,0,0,0,0,
