State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-001,NEAR OPOTUS COMPOUND I,64,240,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,99,51,86,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72145/result_140654_1677581548_thumb.jpg
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-003,OPPOSITE OHUMAHI PALACE,68,212,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,1500,5,8,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72147/result_140656_1677581898_thumb.jpg
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-004,NEAR ALABI'S HOUSE,128,464,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,48,28,37,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72148/result_140657_1677581996_thumb.jpg
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-006,LGEA SCHOOL OZURI II,118,511,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72150/result_140659_1677582183_thumb.jpg
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-007,NEAR OZURI MOSQUE,135,431,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,1,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72151/result_140660_1677582304_thumb.jpg
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-009,OPPOSITE SANNI AJOGE'S HOUSE,147,586,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72849/72849-1677760455.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-013,LGEA SCHOOL OKUNCHI II,118,485,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,50,987,63,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72853/72853-1677666541.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-014,LGEA SCHOOL OKUNCHI III,88,349,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72854/72854-1677606057.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-017,ANYOKE-EBA,141,544,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72857/72857-1677761542.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-018,NEAR JATTO'S COMPOUND,155,592,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72858/72858-1677607159.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-019,NEAR DANSULE'S COMPOUND,122,578,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,61,0,80,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72859/72859-1677608242.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-021,OPEN SPACE NEAR OCHU'S HOUSE ANYOKE EBA,123,500,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,73,3,45,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72861/72861-1677607297.pdf
KOGI,ADAVI,OKUNCHI/OZURI/ONIEKA,22-01-01-022,NEAR ALHASSAN'S HOUSE ANYOKE,166,630,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22852/pu/72862/72862-1677763792.pdf
KOGI,ADAVI,OGAMINANA,22-01-02-003,ABADAGI STREET I,183,643,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22853/pu/72866/72866-1677666279.pdf
KOGI,ADAVI,OGAMINANA,22-01-02-007,LGCA SCHOOL LOGAMININA (PERM. SEC) II,145,823,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22853/pu/72870/72870-1677666509.pdf
KOGI,ADAVI,OGAMINANA,22-01-02-010,FRONT OF COURT II,128,561,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,85,0,43,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22853/pu/72873/72873-1677661538.pdf
KOGI,ADAVI,OGAMINANA,22-01-02-018,LGEA SCHOOL OGAMINANA,120,664,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22853/pu/72881/72881-1677665020.pdf
KOGI,ADAVI,IRUVUCHEBA,22-01-03-003,NEAR OBAJIMOH'S COMPOUND I,71,629,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22854/pu/72884/72884-1677460450.pdf
KOGI,ADAVI,IRUVUCHEBA,22-01-03-007,NEAR IDAMU'S COMPOND I,0,534,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22854/pu/72888/72888-1677481402.pdf
KOGI,ADAVI,IRUVUCHEBA,22-01-03-008,NEAR IDAMU'S COMPOND II,147,489,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22854/pu/72889/72889-1677493735.pdf
KOGI,ADAVI,IRUVUCHEBA,22-01-03-009,NEAR ASEMA'S COMPOUND I,172,593,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22854/pu/72890/72890-1677458496.pdf
KOGI,ADAVI,IDANUHUA,22-01-04-002,NEAR AHERUVO'S COMPOUND II,139,495,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22855/pu/72896/72896-1677464898.pdf
KOGI,ADAVI,IDANUHUA,22-01-04-005,POSTAL AGENCY/OBUBURU I,125,515,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,66,1,56,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22855/pu/72899/72899-1677464335.pdf
KOGI,ADAVI,ADAVI-EBA,22-01-05-003,LGEA SCHOOL ADAVI-EBA I,135,561,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22856/pu/72908/72908-1677663707.pdf
KOGI,ADAVI,ADAVI-EBA,22-01-05-004,LGEA SCHOOL ADAVI-EBA II,133,589,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,81,2,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22856/pu/72909/72909-1677664300.pdf
KOGI,ADAVI,ADAVI-EBA,22-01-05-009,LGEA CATH. OSOMA I,0,491,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22856/pu/72914/72914-1677667203.pdf
KOGI,ADAVI,ADAVI-EBA,22-01-05-010,LGEA CATH. OSOMA II,93,644,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22856/pu/72915/72915-1677666227.pdf
KOGI,ADAVI,KUROKO I,22-01-06-001,LGEA SCHOOL I IBEKE I,193,573,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,95,3,94,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/001/001-1677395712.pdf
KOGI,ADAVI,KUROKO I,22-01-06-004,LGEA SCHOOL II IBEKE II,172,512,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/004/004-1677397384.pdf
KOGI,ADAVI,KUROKO I,22-01-06-011,OPPOSITE ADEIKA'S HOUSE II,131,375,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/011/011-1677409424.pdf
KOGI,ADAVI,KUROKO II,22-01-07-006,NEAR ALIYU INYAMIDA'S COMPOUND I,98,362,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,35,0,61,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/006/006-1677402194.pdf
KOGI,ADAVI,KUROKO II,22-01-07-019,BESIDE BELLO ATTA'S HOUSE II,90,271,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,30,1,59,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22858/pu/72955/72955-1677470304.pdf
KOGI,ADAVI,KUROKO II,22-01-07-022,OPEN SPACE NEAR ALIYU NIYAMDA'S HOUSE I,157,439,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22858/pu/72958/72958-1677470788.pdf
KOGI,ADAVI,INO ZIOMI/IPAKU/OSISI,22-01-08-010,MATERNITY IPAKU I,0,486,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22859/pu/72969/72969-1677536157.pdf
KOGI,ADAVI,INO ZIOMI/IPAKU/OSISI,22-01-08-017,INOZIOMI LAYOUT II,0,579,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,74,3,45,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22859/pu/72976/72976-1677569009.pdf
KOGI,ADAVI,INO ZIOMI/IPAKU/OSISI,22-01-08-019,LGEA SCH. OSISI IV,0,532,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22859/pu/72978/72978-1677569648.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-001,LGEA SCHOOL ENYIDUDU I,26,1025,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72982/72982-1677501986.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-002,LGEA SCHOOL ENYIDUDU II,35,1119,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72983/72983-1677528613.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-006,G.S.S. IRESUHUA III,137,636,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72987/72987-1677481985.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-009,LGEA SCHOOL IRESUHUA III,100,514,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72990/72990-1677483028.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-010,LGEA (CATH) SCH. IKARAWORO I,123,685,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72991/72991-1677483844.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-011,LGEA (CATH) SCH. IKARAWORO II,117,710,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72992/72992-1677484072.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-012,LGEA (CATH) SCH. IKARAWORO III,126,608,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72993/72993-1677484412.pdf
KOGI,ADAVI,IKARAWORO/IDOBANYERE,22-01-09-013,LGEA (CATH) SCH. IKARAWORO IV,135,588,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22860/pu/72994/72994-1677484768.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-001,LGEA SCHOOL OZIOKUTU I,213,1220,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/001/001-1677396302.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-004,LGEA CATH. SCH. NAGAZI-UVETE II,189,1060,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/004/004-1677398816.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-005,C.S.S. OGAMINANA I,185,1324,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73000/73000-1677481223.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-006,C.S.S. OGAMINANA II,207,1343,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73001/73001-1677481463.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-007,LGEA SCHOOL NAGAZI-EBA I,226,831,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73002/73002-1677482003.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-008,LGEA SCHOOL NAGAZI-EBA II,189,727,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73003/73003-1677482843.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-009,BASIC HEALTH CENTRE I,119,548,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73004/73004-1677485130.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-010,BASIC HEALTH CENTRE II,150,555,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73005/73005-1677485318.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-011,BASIC HEALTH CENTRE III,104,526,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73006/73006-1677485661.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-012,LGEA SCH. CATH. NAGAZI-UVETE I,126,616,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73007/73007-1677486177.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-013,LGEA SCH. CATH. NAGAZI-UVETE II,131,799,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73008/73008-1677499779.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-015,LGEA RAHAMA SCH. NAGAZI II,178,764,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73010/73010-1677499284.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-016,LGEA RAHAMA SCH. NAGAZI III,101,377,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73011/73011-1677499944.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-017,LGEA SCHOOL AKU I,59,478,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73012/73012-1677500119.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-018,LGEA SCHOOL AKU II,51,357,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73013/73013-1677500280.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-019,LGEA SCHOOL ATAMI,26,328,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73014/73014-1677500645.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-020,DISPENSARY ATAMI,17,305,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1270,11,68,829,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73015/73015-1677501015.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-021,ANGLICAN SCHOOL OSARA,95,526,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73016/73016-1677501193.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-022,LGEA CATH. SCH. OSARA I,128,666,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73017/73017-1677501804.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-023,LGEA CATH. SCH. OSARA II,108,626,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73018/73018-1677501996.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-024,IREWAGERE,23,241,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73019/73019-1677502356.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-025,ZARIAGI (KABBA JUNCTION) LGEA SCHOOL I,130,1495,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73020/73020-1677502575.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-026,ZARIAGI (KABBA JUNCTION) LGEA SCHOOL I,130,1495,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73020/73020-1677502575.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-027,LGEA SCHOOL IRESUARE,57,401,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73022/73022-1677503282.pdf
KOGI,ADAVI,NAGAZI FARM CENTRE,22-01-10-029,ZARIAGI (KABBA JUNCTION) LGEA SCHOOL II,59,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73024/73024-1677511088.pdf
KOGI,ADAVI,EGE/IRUVOCHINOMI,22-01-11-002,LGEA ANG SCHOOL EGGE II,88,315,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22862/pu/73026/73026-1677502419.pdf
