State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
KWARA,ASA,YOWERE/SOSOKI,23-01-01-001,SOSOKI L G E A SCH,264,951,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1500,0,8,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677391877.pdf
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,23-01-02-001,ADIGBONGBO L.G.E.A SCH,286,596,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/001/001-1677373080.pdf
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,23-01-02-002,AWE L.G.E.A SCH,297,863,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/002/002-1677374242.pdf
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,23-01-02-003,AFO-OJA L.G.E.A SCH,236,472,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677375503.pdf
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,23-01-02-004,YEDE/ORIMARO L.G.E.A SCH,268,609,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/004/004-1677376861.pdf
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,23-01-02-005,TIRO L.G.E.A SCH,157,337,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/005/005-1677377951.pdf
KWARA,ASA,ELEBUE/AGBONA/FATA,23-01-03-005,OMOJAMO DISPENSARY,272,735,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677385257.pdf
KWARA,ASA,BALLAH/OTTE,23-01-09-004,ARAROMI  L.G.E.A.SCH,220,938,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/004/004-1677374299.pdf
KWARA,ASA,BALLAH/OTTE,23-01-09-009,GBAGBA  L.G.E.A.SCH,165,641,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/009/009-1677392450.pdf
KWARA,ASA,BALLAH/OTTE,23-01-09-011,LASOJU OPEN SPACE,295,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/011/011-1677369131.pdf
KWARA,ASA,AFON,23-01-12-001,AFON  L.G.E.A.SCH,283,1063,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,147,7,82,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/001/001-1677391654.pdf
KWARA,ASA,AFON,23-01-12-004,KANKAN  L.G.E.A.SCH,276,732,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/004/004-1677376525.pdf
KWARA,ASA,AFON,23-01-12-005,IGBOROKO  L.G.E.A.SCH,374,887,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/005/005-1677396722.pdf
KWARA,ASA,ILA-OJA,23-01-13-002,AJELANWA  L.G.E.A.SCH,155,463,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,58,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/13/pu/002/002-1677379403.pdf
KWARA,ASA,OGELE,23-01-14-001,OGELE  L.G.E.A.SCH,176,751,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,130,0,14,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/14/pu/001/001-1677424820.pdf
KWARA,ASA,BUDO-EGBA,23-01-15-007,AGBOYI-NLA  L.G.E.A.SCH,204,546,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,108,0,70,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/15/pu/007/007-1677363405.pdf
KWARA,BARUTEN,BORIYA/SHIYA,23-02-01-002,BORIYA  SABO AREA,220,958,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,164,2,41,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/002/002-1677424956.pdf
KWARA,BARUTEN,BORIYA/SHIYA,23-02-01-006,BUSHIPARU  L.G.E.A.SCH,162,701,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,96,4,26,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/006/006-1677410393.pdf
KWARA,BARUTEN,BORIYA/SHIYA,23-02-01-007,BUSHIRU  L.G.E.A.SCH,260,831,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,86,0,137,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/007/007-1677409414.pdf
