State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-010,"39, SADIKU STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-029,"29, APATA STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-033,"36, ADESOKAN STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-042,"2, FEMI-ANJORIN STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-004,"21, OJORA STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-005,"9, OJORA STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-006,AT THE JUNCTION OF  IYALODE STR./BAALE AIYETORO,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-007,"(AJEROMI HEALTH POST, IYALODE STREET)AJEROMI PUBLIC SCHOOL IYALODE STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-008,JUNCTION OF RALIATU/FAKUNLE STREET I,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-009,JUNCTION OF RALIATU/FAKUNLE STREET II,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-010,"5, AJOSE LANE",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-011,ODUDUWA/IWU LANE JUNCTION,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-012,AT THE JUNCTION OF CEMENTARY/BABANI,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-013,12 BABANI STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-024,SIDI/TESI JUNCTION,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AGO HAUSA,24-02-01-028,SANUSI STREET/ODUDUWA,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-044,22/24 AKERELE STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,AWODI-ORA,24-02-02-045,MARKET STREET VIA OLANISHOLA STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,WILMER,24-02-03-002,B/W 66/68 IDEWU STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,OLODI,24-02-04-009,"16, IDI STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TOLU,24-02-05-014,"8, TUNKARIMU STREET II",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TOLU,24-02-05-049,5 JOHN LADIPO STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TOLU,24-02-05-071,OPP. CENTRAL MOSQUE,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TOLU,24-02-05-073,"3, BALE AJIBOLA STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TOLU,24-02-05-082,"4, GBADESERE STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TOLU,24-02-05-084,61/63 ASHAFA STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-022,"56,  APENA STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,TEMIDIRE I,24-02-06-030,ALAKA STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,OJO ROAD,24-02-07-004,"9, AROWORADE STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,ALABA ORO,24-02-09-009,"6, MOSALASHI STREET I",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,ALABA ORO,24-02-09-039,"143, ALAFIA STREET II",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AJEROMI/IFELODUN,MOSAFEJO,24-02-10-012,"48, IMAM STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,ALIMOSHO,EGBEDA/ALIMOSHO,24-03-02-048,KARIMU ILAKA/AKOWONJO ROAD,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,ALIMOSHO,IKOTUN/IJEGUN,24-03-04-111,IFELODUN/MARIA IBIRONKE JUNCTION II,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,"AMUWO-ODOFIN HOUSING ESTATE, MILE 2",24-04-01-004,"BESIDE BLK. 358, AMUWO ODOFIN",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-011,OYEWOLE PRY. SCH. MAZA-MAZA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-028,"14, BALE STREET AMUWO",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-036,"2/2, ISHOLA STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-041,JUNCTION OF OTUN-OBA OLAYEMI STREET,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-042,"26, OLAYEMI STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-044,"8, EBUN OLOJEDE STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-051,"26, OLAYEMI STREET",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-063,"13, ALHAJI BALOGUN STREET II",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,AMUWO-ODOFIN,AMUWO,24-04-05-072,"57, ALAHUN OSUNBA STREET II",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,BADAGRY,IKOGA,24-06-09-011,"OPEN SPACE AT IDAYAT HOUSE, EREKITI-AJIDUN",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,LAGBADE,24-07-02-001,IN FRONT OF LAGBADE MOSQUE,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,POPO-OBA,24-07-03-001,ST. MICHAEL ANG. SCH. EPE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,AJAGANABE,24-07-05-003,CHIRST CHURCH PRY. SCH. EPE III,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,POKA,24-07-16-003,"L.G. PRY. SCH., NOFORIJA II",0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,ODOMOLA,24-07-17-004,R.C.M. PRY. SCH. ODOMOLA IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,ODOMOLA,24-07-17-016,A.U.D. PRY SCH. ODO-EGIRI- IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,ODOMOLA,24-07-17-017,A.U.D. PRY SCH. ODO-EGIRI -V,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,ODOMOLA,24-07-17-019,U.P.E. PRY. SCH. AJEGBENDE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,EPE,EJIRIN,24-07-18-003,R.C.M. PRY. SCH. EJINRIN II,0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,ETI-OSA,VICTORIA ISLAND I,24-08-01-001,OPEN SPACE AT ARMY CAMP (TARKWA BAY),0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,ETI-OSA,VICTORIA ISLAND I,24-08-01-002,OKO ATA I (ABAGBO VILLAGE I),0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,ETI-OSA,VICTORIA ISLAND I,24-08-01-003,OKO ATA II (ABAGBO VILLAGE II),0,0,0,0,1,0,1,1,0,0,0,0,0,
LAGOS,ETI-OSA,VICTORIA ISLAND I,24-08-01-004,OGOGORO COMMUNITY I (EBUTE OKO I),0,0,0,0,1,0,1,1,0,0,0,0,0,
