State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-003,"1, GARUBA STREET",86,588,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,38,6,23,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76566/result_21440_1677481726_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-022,INSIDE ILORO GRAMMAR SCHOOL II,91,671,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,31,32,14,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76585/result_21459_1677484640_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-045,"5, OREMEJI STREET",47,383,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,32,4,7,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76608/result_21482_1677488618_thumb.jpg
LAGOS,AGEGE,ISALE/IDIMANGORO,24-01-01-046,"13, BALOGUN STREET",119,667,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,73,2,26,14,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76609/result_21483_1677488725_thumb.jpg
LAGOS,AGEGE,ILORO/ONIPETESI,24-01-02-001,"21, OGUNJOBI STREET",116,717,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,64,26,12,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76612/result_21496_1677498289_thumb.jpg
LAGOS,AGEGE,ILORO/ONIPETESI,24-01-02-005,OPEN SPACE AT THE END OF SONAYA STREET,84,670,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,42,30,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76616/result_21500_1677501332_thumb.jpg
LAGOS,AGEGE,ILORO/ONIPETESI,24-01-02-011,"28, ADEBIYI-AYOPO STREET",121,613,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,62,27,11,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76622/result_21506_1677502063_thumb.jpg
LAGOS,AGEGE,ILORO/ONIPETESI,24-01-02-017,"1, UNION ROAD",98,500,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,29,49,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76628/result_21512_1677502802_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-006,"29, ADENIYI STREET",127,883,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,94,9,20,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76645/result_21540_1677446087_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-009,"18, AJEBORIOGBON STREET",68,690,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,32,10,13,9,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76648/result_21543_1677446704_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-024,"6, AKINSULI STREET",101,506,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,66,11,12,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76663/result_21558_1677476777_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-025,"10, OGUNWO STREET",70,614,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,41,11,6,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76664/result_21559_1677496764_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-027,"6, AKINJOBI STREET",72,475,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76666/result_21561_1677496377_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-037,"18, OGUNJIMI STREET",81,671,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,50,6,16,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76676/result_21571_1677492565_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-048,"23, TIJANI STREET",88,522,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,57,16,4,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76687/result_21582_1677487779_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-060,"15, BALOGUN LANE",85,599,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76699/result_21594_1677506699_thumb.jpg
LAGOS,AGEGE,ONIWAYA/PAPA-UKU,24-01-03-078,"13, ABIMBOLA STREET",139,847,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,98,8,17,13,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76717/result_21612_1677514774_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-004,OYEWOLE ROAD II,72,452,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,33,22,10,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76722/result_21633_1677450085_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-005,"15, OPAWALE STREET",84,583,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76723/result_21634_1677471486_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-013,"8, FASHOLA STREET",102,676,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,54,27,18,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76731/result_21642_1677471674_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-017,"2, KUSORO STREET",111,802,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76735/result_21646_1677473802_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-027,"15, BAKARE-OPESA STREET",60,384,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76745/result_21656_1677478213_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-028,"13, BAKARE-OPESA STREET",55,257,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,41,11,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76746/result_21657_1677478575_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-029,JUNCTION OF OLUMO/BAKARE-OPESA,104,713,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76747/result_21658_1677478646_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-036,"9, ADEALU STREET",100,680,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76754/result_21665_1677476000_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-038,"30, ADEALU STREET",82,562,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76756/result_21667_1677481105_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-039,"28, ADEALU STREET",94,728,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76757/result_21668_1677476530_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-049,"3, OLANREWAJU STREET",76,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,46,22,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76767/result_21678_1677480871_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-050,"5, OLANREWAJU STREET",52,420,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76768/result_21679_1677443664_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-051,"20, HASSAN-ADEJOBI STREET",111,604,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76769/result_21680_1677444176_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-053,"17, OLAFIMIHAN STREET",105,800,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76771/result_21682_1677446135_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-055,"36, KOLAWOLE STREET",109,619,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76773/result_21684_1677447591_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-057,"12, FOWOTADE",56,484,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76775/result_21686_1677448364_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-059,"34, ADEBAMBO STREET",70,476,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76777/result_21688_1677449004_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-060,"32, ADEBAMBO STREET",71,424,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,987,5,56,582,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76778/result_21689_1677449282_thumb.jpg
LAGOS,AGEGE,AGBOTIKUYO/DOPEMU,24-01-04-061,"16, OLAMIKO STREET",131,888,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76779/result_21690_1677471178_thumb.jpg
