State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
NASARAWA,KARU,KARSHI II,25-04-04-006,TAKALAFIYA PRIMARY SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,KARSHI II,25-04-04-007,TAKALAFIYA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-001,TATTARA PRI.SCHOOL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-002,TATTARA PRI.SCHOOL  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-003,ANG. AYABA  PRIMARY SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-004,JAMAGA MADA PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-005,DUTSEN GOGO,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-006,ABUI - OP,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-007,ANKUTA PRI.SCHOOL - PB,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-008,AKWAP - OP,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-009,ASHOT - OP,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-010,KUDA - OP,0,0,0,0,1,0,1,1,0,0,0,0,0,
NASARAWA,KARU,TATTARA/KONDORO,25-04-06-011,KONDORO YESKWA  - OP,0,0,0,0,1,0,1,1,0,0,0,0,0,
