State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
NASARAWA,AKWANGA,ANCHOBABA,25-01-02-003,ANCHO SARKI,259,878,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,657,1,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/003/003-1677363162.pdf
NASARAWA,AKWANGA,AGYAGA,25-01-01-003,ASHE,318,770,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,31,135,72,5,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/003/003-1677397676.pdf
NASARAWA,AKWANGA,ANCHO NIGHAAN,25-01-04-004,NUMAN KUCHU,142,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,6,92,34,5,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/04/pu/004/004-1677389385.pdf
NASARAWA,AKWANGA,MOROA,25-01-08-001,C.M.S MOROA,201,854,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3628/ward/23536/pu/86127/86127-1677509896.pdf
NASARAWA,AKWANGA,MOROA,25-01-08-002,C.M.S MOROA,301,886,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3628/ward/23536/pu/86128/86128-1677590522.pdf
NASARAWA,AKWANGA,MOROA,25-01-08-003,B/KOGI,177,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3628/ward/23536/pu/86129/86129-1677508868.pdf
NASARAWA,AKWANGA,MOROA,25-01-08-005,ANJIDA SARKI,119,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3628/ward/23536/pu/86131/86131-1677509318.pdf
NASARAWA,AKWANGA,AKWANGA WEST,25-01-09-002,U/GALADIMA,406,1742,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,17,324,20,8,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85071/result_42025_1677580135_thumb.jpg
NASARAWA,AKWANGA,AKWANGA EAST,25-01-10-012,U/ALAGO  ,204,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,4,945,5,4,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/012/012-1677391922.pdf
NASARAWA,AKWANGA,NINGO / BOHAR,25-01-11-001,NINGO,176,801,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85091/result_42110_1677577192_thumb.jpg
NASARAWA,AWE,TUNGA,25-02-01-001,TUNGA PRI.SCHOOL - I PB,206,940,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,129,13,87,8,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/001/001-1677389943.pdf
NASARAWA,AWE,TUNGA,25-02-01-003,TSOHON TUNGA - PB,224,815,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,65,124,23,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/003/003-1677391668.pdf
NASARAWA,AWE,TUNGA,25-02-01-004,AGUDU - PB,107,564,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,9,68,26,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/004/004-1677392445.pdf
NASARAWA,AWE,TUNGA,25-02-01-007,GIDAN GWAM - OB,183,664,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,41,131,7,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/007/007-1677387478.pdf
NASARAWA,AWE,MAKWANGIJI,25-02-02-007,KUNDU - OB,174,684,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3629/ward/23541/pu/86174/86174-1677513737.pdf
NASARAWA,AWE,GALADIMA,25-02-04-003,KOFAR  GALADIMA B - PB,219,625,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/003/003-1677380675.pdf
NASARAWA,AWE,GALADIMA,25-02-04-004,MAHANGA/NOMADIC - OB,320,985,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/004/004-1677375605.pdf
NASARAWA,AWE,KANJE/ABUNI,25-02-06-002,UNG.KWALLA (OB),100,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/002/002-1677366973.pdf
NASARAWA,AWE,KANJE/ABUNI,25-02-06-003,KANJE PRI.SCHOOL - PB,247,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/003/003-1677379334.pdf
NASARAWA,AWE,RIBI,25-02-07-001,RIBI TV CENTRE - PB,233,810,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,146,0,56,9,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/07/pu/001/001-1677399518.pdf
NASARAWA,AWE,AZARA,25-02-08-012,KOFAR SARKIN KURUM,147,638,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/08/pu/012/012-1677412846.pdf
