State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
NIGER,AGAIE,EKOSSA,26-01-04-004,ISIYAKU PRIMARY SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,ETSUGAIE,26-01-07-006,KORIYAGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,DAUACI,26-01-08-003,BATAKO,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,MAGAJI,26-01-10-005,JITU MAGAJI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,MAGAJI,26-01-10-006,SHABA WOSHI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,MAGAJI,26-01-10-007,SHIPOGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,MAGAJI,26-01-10-008,TSADU ZAYIKO,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-001,ALIKO,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-002,BINI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-003,EGUNKPA,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-004,FOGBE,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-005,GBIMINGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-006,GUTSUNGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-011,TAGAGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-012,TSWANYA DOKA,0,0,0,0,1,0,1,1,0,0,0,0,0,
NIGER,AGAIE,TAGAGI,26-01-11-013,WONIGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
