State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
NIGER,AGAIE,BARO,26-01-01-002,BARO I,117,401,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,69,1,27,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86522/result_71030_1677763201_thumb.jpg
NIGER,AGAIE,BARO,26-01-01-012,LOGUMA,276,815,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/012/012-1677369644.pdf
NIGER,AGAIE,EKOSSA,26-01-04-002,EMI FULAKO I,186,805,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,77,1,100,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86553/result_71074_1677594575_thumb.jpg
NIGER,AGAIE,EKOWUGI,26-01-05-008,NUHU PRIMARY SCHOOL I,265,970,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86568/result_71092_1677667854_thumb.jpg
NIGER,AGAIE,EKOWUNA,26-01-06-008,S.I. JIYA GATSHA,311,985,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,147,3,131,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86579/result_71105_1677581041_thumb.jpg
NIGER,AGAIE,ETSUGAIE,26-01-07-001,CHATA I,336,771,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,117,0,213,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86582/result_71115_1677754025_thumb.jpg
NIGER,AGAIE,ETSUGAIE,26-01-07-008,MAYAKI,176,968,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86589/result_71122_1677754897_thumb.jpg
NIGER,AGAIE,TAGAGI,26-01-11-010,NDAKO,124,621,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,5,0,116,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86631/result_71184_1677835134_thumb.jpg
NIGER,AGWARA,KOKOLI,26-02-06-001,OLD PAPIRI  I,0,665,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86665/result_71228_1677579537_thumb.jpg
NIGER,AGWARA,KOKOLI,26-02-06-002,OLD PAPIRI II,250,507,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86666/result_71229_1677578800_thumb.jpg
NIGER,BIDA,BARIKI,26-03-01-002,EMI GBATE  I,167,574,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,94,7,55,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86693/result_71264_1677581914_thumb.jpg
NIGER,BIDA,BARIKI,26-03-01-004,EMI BABA AMA,262,935,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,152,12,76,5,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86695/result_71266_1677581939_thumb.jpg
NIGER,BIDA,BARIKI,26-03-01-006,EMI BELLO DZWAFU,228,761,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,94,25,91,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86697/result_71268_1677579349_thumb.jpg
NIGER,BIDA,CENIYAN,26-03-02-015,SHEHU MASANDU,235,807,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,14,6,75,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86721/result_71306_1677588786_thumb.jpg
NIGER,BIDA,DOKODZA,26-03-03-013,SOLLAWUTSU PRIMARY SCHOOL,168,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86735/result_71334_1677581925_thumb.jpg
NIGER,BIDA,KYARI,26-03-04-009,ALIKALI MUSA,234,955,TRUE,0,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86748/result_71357_1677581706_thumb.jpg
NIGER,BIDA,LANDZUN,26-03-05-001,ALH. IBRAHIM LEMU,218,633,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,142,3,60,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86756/result_71377_1677577885_thumb.jpg
NIGER,BIDA,LANDZUN,26-03-05-002,BENU LONCHITA,203,861,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,113,0,71,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86757/result_71378_1677578583_thumb.jpg
NIGER,BIDA,LANDZUN,26-03-05-007,IBRAHIM DRIVER,198,622,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,92,0,80,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86762/result_71383_1677579664_thumb.jpg
NIGER,BIDA,MASABA I,26-03-06-006,EMI KOTONKOMU,201,481,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86771/result_71395_1677580204_thumb.jpg
NIGER,BIDA,MASABA I,26-03-06-010,EMI ALHAJI NDAKURE,292,797,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86775/result_71399_1677581631_thumb.jpg
NIGER,BIDA,MASAGA II,26-03-09-004,CIROMA SAMARI,254,824,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86792/result_71428_1677580826_thumb.jpg
NIGER,BIDA,MAYAKI NDAJIYA,26-03-10-004,EMI MADAMI,228,714,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,134,6,75,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/86798/result_71439_1677579682_thumb.jpg
NIGER,BORGU,BABANNA,26-04-01-003,GARONJI,234,810,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,129,1,96,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3644/ward/23711/pu/87942/87942-1677581499.pdf
