State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OGUN,IJEBU NORTH,OKE SOPIN,27-09-06-010,FRONT OF FUNWONDARA MOSQ. I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-003,POE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-005,C.P.S. SCH. IBADAN,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-011,OPEN SPACE AT ODEPATA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,IFONYINTEDO,27-14-10-001,OPEN SPACE AT MATERNITY CENTRE ATAN-OTA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,IFONYINTEDO,27-14-10-002,OPEN SPACE NEAR EGA COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,IFONYINTEDO,27-14-10-005,OPEN SPACE NEAR BAPT. CHURCH ISALE-ODO,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,IHUNBO/ ILASE,27-14-12-002,"COURT HALL, IHUNBO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,OBAFEMI/OWODE,OFADA,27-15-02-010,"O.O.L.G. SCHOOL, MAGBORO",0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,REMO NORTH,AYEGBAMI,27-19-01-013,"OPEN SPACE AT OLOPOMEWA, ISARA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,IFONYINTEDO,27-14-10-029,"OPEN SPACE AT OKEJERE, MADOGA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-015,"OPEN SPACE AT NEW GARAGE,JATTU",0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-016,OPEN SPACE AT IDOMEFE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-017,OPEN SPACE AT AFONJI SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,IPOKIA,TUBE,27-14-05-018,TOWN HALL BILAFON,0,0,0,0,1,0,1,1,0,0,0,0,0,
OGUN,OBAFEMI/OWODE,OFADA,27-15-02-058,"OPEN SPACE AT MOSAFUNETO AVENUE, BESIDE TRANSFORMER PAKURO",0,0,0,0,1,0,1,1,0,0,0,0,0,
