State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ONDO,AKOKO NORTH EAST,EDO,28-01-01-005,ODE ODALURE/OSORO/ODE IMOKU/ODE OLORI/OKEGBEDE BARRACKS  A.U.D PRIMARY SCHOOL III,179,600,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677382012.pdf
ONDO,AKOKO NORTH EAST,EDO,28-01-01-006,ODE ODALURE/OSORO/ODE IMOKU/ODE OLORI/OKEGBEDE BARRACKS  A.U.D PRY. SCH. 111,206,588,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,159,1,35,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/006/006-1677389466.pdf
ONDO,AKOKO NORTH EAST,EKAN,28-01-02-003,"ILEPA, IN FRONT OF MANAGERS HOUSE",229,617,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,205,0,23,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92936/result_81035_1677583137_thumb.jpg
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-001,"GARUBA OBAYAJI/GOMINA MARKET, IN FRONT OF GARUBA COMP",249,737,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/001/001-1677386754.pdf
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-002,"ALAJA AJARA HOUSE, IN FRONT OF OLD NEPA OFFICE",220,673,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/002/002-1677386154.pdf
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-003,"ALAJA AJARA HOUSE, BESIDE OLD NEPA OFFICE",126,334,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/003/003-1677379212.pdf
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-004,"KOLADE BANKOLE COMP/BAMISAYE/INU ODI, GBAGBA OJUDE OKELA",244,613,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1211,3,17,868,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/004/004-1677386330.pdf
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-005,"KOLADE BANKOLE/BAMISAYE/INU-ODI, IN FRONT OF AMODUS HOUSE",165,401,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/005/005-1677384229.pdf
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-006,"AJIJOLA ALAJI TAOSIRI/GBADA COMP., IN FRONT OF TAOSIRIS HOUSE",212,612,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/006/006-1677382988.pdf
ONDO,AKOKO NORTH EAST,IKADO I,28-01-03-007,"OSABI,  L.A PRY. SCH. IKADO",183,458,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/007/007-1677382600.pdf
