State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
PLATEAU,LANGTANG NORTH,KELLER,31-09-03-009,TUNKUN/KURGWAN,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-001,REAK/NACHANG,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-002,DADUR NAKI,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-003,DADUR  PRY. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-004,KENSONG PRY. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-005,LIMUN PRY. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-006,FILLAP PRY. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-007,VONGBAP,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-008,GANGTANG,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-010,LAKA / WACHA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-011,DANGRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-012,ZAMGWAR,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MANGU,KERANG,31-11-08-015,KONVEN,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MANGU,KOMBUN,31-11-09-019,PERKA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MIKANG,BALTEP,31-12-01-005,BALTEP,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,SHENDAM,PANGSHOM,31-16-06-016,POEDIEL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,BASSA,JENGRE,31-02-05-019,BAKIN TITI,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-014,DISTRICT OFFICE REAK,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-015,GSS DADUR NAKI,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-016,BUM - DIDA LEA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-017,NZAM WANDEP,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-018,LEA WACHA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-019,LEA CHIRKWAK,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-020,LEA PIRGIN,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-021,LEA QUATA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-022,SMALL LONDON ZAM,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MANGU,GINDIRI  11,31-11-04-015,TUDUN WADA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MANGU,GINDIRI  11,31-11-04-019,PADA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MANGU,MANGU  11,31-11-12-013,KWAHAS CHEER II,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,MIKANG,PIAPUNG 'B',31-12-09-014,PHC CLINIC LUA,0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,SHENDAM,SHENDAM CENTRAL (B),31-16-09-034,UNG. HAUSAWA STREET II (OPEN SPACE),0,0,0,0,1,0,1,1,0,0,0,0,0,
PLATEAU,LANGTANG NORTH,REAK,31-09-13-013,DANGRE V. SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
