State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-001,KATAKO,543,1471,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105300/105300-1677571684.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-005,KAMPANI 1,287,1150,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105304/105304-1677572701.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-006,KAMPANI  11,321,1021,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105305/105305-1677573047.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-007,TAKWOK/KWOK,342,734,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105306/105306-1677573360.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-008,ANGWAN SARKI,264,769,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105307/105307-1677573608.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-009,SABON LAYI 1,428,1276,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,853,12,73,729,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105308/105308-1677573882.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-010,SABON LAYI  11,377,1173,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105309/105309-1677574311.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-011,KAFI ABU,426,1128,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105310/105310-1677574497.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-013,ST. MARKS PRIM. SCH. 11,256,709,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105312/105312-1677575218.pdf
PLATEAU,BARIKIN LADI,BARAKIN LADI,31-01-01-014,GANGARE TASHA 11,328,896,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3768/ward/25086/pu/105313/105313-1677575456.pdf
