State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
RIVERS,ABUA-ODUAL,OKPEDEN,32-01-08-008,"OGONOKOM TOWN HALL, OGONOKOM III",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,OKPEDEN,32-01-08-009,EGBOLOM TOWN HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,OKPEDEN,32-01-08-011,EGBOLOM SCHOOL HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,OKPEDEN,32-01-08-018,EMOH HEALTH CENTER,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,OKPEDEN,32-01-08-019,EGBOLOM TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,EMAGO-KUGBO,32-01-11-004,"TOWN HALL, EMAGO I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,EMAGO-KUGBO,32-01-11-008,"TOWN HALL, EKUGHUMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,EMAGO-KUGBO,32-01-11-009,"STATE SCHOOL HALL, EMAGO II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,EMAGO-KUGBO,32-01-11-010,EBILILAGH TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,EMAGO-KUGBO,32-01-11-011,STATE SCHOOL HALL/EMAGO  II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,AKANI,32-01-12-004,"STATE SCHOOL HALL, AMURUTO I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,AKANI,32-01-12-008,"STATE SCHOOL HALL, AKANI I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ABUA-ODUAL,AKANI,32-01-12-010,"TOWN HALL, AKANI I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AHOADA EAST,UPPATA  IV,32-02-08-011,"U.P.E. SCHOOL, OKOMA I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AHOADA EAST,UPPATA  IV,32-02-08-012,TOWN HALL OKOMA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AHOADA EAST,UPPATA  IV,32-02-08-013,TOWN HALL OKOMA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AHOADA EAST,UPPATA  VI,32-02-10-014,IHUOWO COMMUNITY MARKET (IGBU-OKPU IHUOWO),0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AHOADA WEST,IGBUDUYA I,32-03-05-010,"TOWN HALL, OGBEDE",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,KULA  II,32-04-16-005,AGUDA KIRI/EDIKIRI,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,KULA  II,32-04-16-011,OFFOBOKO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,NORTH/SOUTH GROUP,32-04-17-010,"OPUPOLO, SOKU",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,NORTH/SOUTH GROUP,32-04-17-016,OPUKIRI/ KALAKIRI SOKU,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,NORTH/SOUTH GROUP,32-04-17-019,"OPUBUBEKIRI, ELEM SANGAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,NORTH/SOUTH GROUP,32-04-17-023,LOWER & UPPER ABISSA,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,AKUKU TORU,NORTH/SOUTH GROUP,32-04-17-024,OPU ABISSA,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,UNYEN GALA,32-05-02-011,C.P.S. AKARADIJA,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,UNYEN GALA,32-05-02-012,AKARADI/OTOGWU VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,UNYEN GALA,32-05-02-013,"VILLAGE SQUARE, AMAEKPIRIKPO-AKARADI",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,SAMANGA,32-05-08-001,C.P.S. AJAKAJAK,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,SAMANGA,32-05-08-002,C.P.S.IBOTIREM,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,SAMANGA,32-05-08-004,C.P.S. SAMANGA,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,SAMANGA,32-05-08-005,UDUNG AMAIYO SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,SAMANGA,32-05-08-006,"JOSHUA VILLAGE SQUARE, UDUNGAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,SAMANGA,32-05-08-007,"NKANLEK SQUARE, AJAKAJAK",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,ASARAMA,32-05-09-004,OKAMA SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,ASARAMA,32-05-09-005,EGWEBE VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,ASARAMA,32-05-09-007,"G.S.S. ASARAMA, UTIBI OTUORON/DIMAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,ASARAMA,32-05-09-008,"G.S.S. ASARAMA, ATAIJONG/DIMAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ANDONI,ASARAMA,32-05-09-013,EBON UKPURU VILLAGE SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA SOUTH EAST,32-06-02-008,EGILE MEMORIAL HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-001,YOUNG ARNEY MEMORIAL HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-002,YOUNG ARNEY MEMORIAL HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-003,"DOUGLAS MEMORIAL HALL, DOUGLAS POLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-004,"YOUNG ARNEY HALL, AWUBITE",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-005,"DOUGLAS MEMORIAL HALL, JENEWARI",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-006,"MAC-JAJA MEMORIAL HALL, MAIN MAC-JAJA I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-007,"MAC-JAJA MEMORIAL HALL, MAIN MAC-JAJA II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-008,"MAC-JAJA MEMORIAL HALL, MAIN MAC-JAJA III",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-009,KIENE MEMORIAL HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-010,KIENE MEMORIAL HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-011,"MAC-JAJA MEMORIAL HALL, MAC-JAJA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-012,OGO POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-013,"OPUKIO,  WILLIE POLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-014,"OGO POLO, HARRISON",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-015,"ABBEY COMPOUND, NUMBERE",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-016,DAGOGO'S GATE DAGOGO POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-017,OWUSO POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-018,DABOYE/ DOKUBO COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-019,PEPPLE MEMORIAL HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-020,OJUKA POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-021,OKOROSA POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-023,EJIMOFOR GATE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-024,"THEOPHILUS/OBERI, ABBEY",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-025,"ORIBO SQUARE, ORIBO COMPOUND",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-026,ORIBO COMPOUND IDIALAFIRI SQUARE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST I,32-06-03-027,"TEKEWARI SQUARE, IBRA OFORINIMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST II,32-06-04-010,BERRY COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  EAST II,32-06-04-011,"IKRIKOTA OMUARO SQUARE, GENESTER",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-001,EFEREBO COMPOUND I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-002,EFEREBO COMPOUND II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-003,"WARMATE, JAMES/ALAFA-AGEORGE",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-004,"WARMATE, DABOYE OSI",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-005,"JOHNBULL COMPOUND, OGOBU/DABIRI I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-006,"JOHNBULL COMPOUND, OGOBU/DABIRI II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-007,"JOHNBULL COMPOUND, WELL/OKPARA I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-008,"JOHNBULL COMPOUND, WELL/OKPARA II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-009,"JOHNBULL COMPOUND, ABERENGE I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  SOUTH  WEST,32-06-05-010,"JOHNBULL COMPOUND, ABERENGE II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA  NORTH EAST,32-06-06-007,ORUPUMBUS  COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-001,FRED HORSEFALL COMPOUND I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-002,FRED HORSEFALL COMPOUND II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-003,FRED HORSEFALL COMPOUND III,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-004,KENIKURO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-005,MAIN HORSEFALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-006,"MAIN HORSEFALL, NENEYE",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-007,TENGITE BENIBO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-008,AKIBANIGO GATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-009,COTTERELL COMPOUND I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-010,COTTERELL COMPOUND II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-011,KAIZER GATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-012,"ABO GATE, ORUBIA/ABO",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-013,OBAZI GATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-014,"OBAZI GATE, NYEMONIBA",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA WEST,32-06-07-015,FRED HORSEFALL COMPOUND,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA NORTH WEST I,32-06-08-003,DONALD SQUARE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA NORTH WEST I,32-06-08-005,OMONI GATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA NORTH  WEST II,32-06-09-007,TOBIN WEST II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,BUGUMA NORTH  WEST II,32-06-09-012,ORIKA DIBIA MEMORIAL HALL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-004,"COUNCIL HALL, DAPPA POLO II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-010,AKUBU POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-014,SELEYA COMPOUND II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-019,"IFOKO TOWN HALL, UPPER SOUTHERN IFOKO IV",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-021,ELEM IFOKO II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-022,OKPO TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-023,ILELEMA TOWN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-024,TOWN HALL TEMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-026,TOWN HALL TEMA AMASA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-027,"TOWN SQUARE, OPOROMA SOUTH",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-028,"TOWN SQUARE, OPOROMA SOUTH I",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,ISIA GROUP I,32-06-11-029,"TOWN SQUARE, OPOROMA SOUTH II",0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,WEST CENTAL GROUP,32-06-13-001,OPUKIRI MAIN HALL,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,WEST CENTAL GROUP,32-06-13-002,EFEREBO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,WEST CENTAL GROUP,32-06-13-003,EFEREBO POLO,0,0,0,0,1,0,1,1,0,0,0,0,0,
RIVERS,ASARI-TORU,WEST CENTAL GROUP,32-06-13-004,"TOWN SQUARE, KRAKRAMA I",0,0,0,0,1,0,1,1,0,0,0,0,0,
