State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-007,"OKUNNY-ADIBUO, TOWN HALL I",28,551,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,6,2,19,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107463/107463-1677807535.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-015,EMOOM-EMA TOWN HALL II,33,726,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/015/015-1677371513.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-018,OKIPIKIRI TOWN HALL II,45,639,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/018/018-1677359823.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-019,ISAMA TOWN HALL,36,472,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,14,1,141,9,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107475/107475-1677597639.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-020,IGUTA TOWN HALL,103,868,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,38,3,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107476/107476-1677598043.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-022,EMILAGHAN II TOWN HALL,129,564,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/022/022-1677375553.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-023,EMILAGHAN III TOWN HALL,152,623,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/023/023-1677371896.pdf
RIVERS,ABUA-ODUAL,ABUA I,32-01-01-025,OMELEMA I TOWN SQUARE,147,511,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,85,17,39,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25279/pu/107481/107481-1677597734.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-001,EFIBIRI TOWN HALL I,56,624,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107486/107486-1677586872.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-002,EFIBIRI TOWN HALL II,76,426,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107487/107487-1677588155.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-003,"OKANA TOWN HALL, OMIMEGBO I",73,520,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107488/107488-1677588618.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-004,"OKANA TOWN HALL, OMINIGBO II",53,471,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107489/107489-1677589066.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-005,OKANA TOWN HALL I,133,737,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107490/107490-1677589749.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-006,OKANA TOWN HALL II,90,651,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107491/107491-1677590286.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-007,OGHORA TOWN HALL,144,713,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107492/107492-1677591741.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-008,"OTO-OBINOMA, PLAY GROUND",94,557,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107493/107493-1677592074.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-009,ARUKWO I TOWN HALL,145,739,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107494/107494-1677592631.pdf
RIVERS,ABUA-ODUAL,ABUA II,32-01-02-010,"ARUKWO II, DISPENSARY HALL ARUKWO",156,758,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25280/pu/107495/107495-1677593166.pdf
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-002,TOWN HALL ODAGA,113,802,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,17,15,66,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25281/pu/107497/107497-1677712511.pdf
RIVERS,ABUA-ODUAL,ABUA III,32-01-03-015,C.P.S. HALL OTARI III,81,315,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/03/pu/015/015-1677369502.pdf
RIVERS,ABUA-ODUAL,EMUGHAN  II,32-01-06-007,"C.P.S. HALL, OWEREWERE  II",84,315,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,38,9,32,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3784/ward/25284/pu/107531/107531-1677653626.pdf
