State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
SOKOTO,BODINGA,BANGI/DABAGA,33-02-09-008,"BANGI DUTSE, SHIYAR MARAFA",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,BODINGA,TAKATUKU/MADORAWA,33-02-11-011,TASHA MILGOMA,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-002,"WABABE PRY SCH, WABABE MPS",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-003,WABABE GABAS - SHIYAR G. HAKIMI,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-004,"HAMMARE, HAMMARE",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-005,BAYAN GIDAN H/DONAWA,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-006,"MODEL PRY SCH, YOLA",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-007,"BAYAN MASSALACI, DABAGIN WABABE",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-008,G.M ALTINE KARADAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-009,HAUSARE P. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-010,"HANYAR GIDAN MALAM HANTSI, MALAM HANTSI/ GIDAN M. N DALI",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-012,"MODEL PRY SCH, SALAU",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,WABABE/SALAU,33-03-02-014,"FILIN YARKASUWA, ILLELAR SALAU",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,FAJALDU,33-03-04-001,"MODEL PRY SCH, BUDUDE",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,FAJALDU,33-03-04-003,GONAR YARI/ASARARA,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,FAJALDU,33-03-04-005,"BAYAN GIDAN MAI GARI, WARAMU/ ASARARA",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,FAJALDU,33-03-04-006,FAJALDU M.P.S,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,FAJALDU,33-03-04-009,"MODEL PRY SCH, BISSALAM / FILIN INWALA",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,FAJALDU,33-03-04-010,"GONAR YARI, BISSALAM/WARAMU",0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,SHUNI,33-03-05-001,JSS SHUNI,0,0,0,0,1,0,1,1,0,0,0,0,0,
SOKOTO,DANGE/SHUNI,SHUNI,33-03-05-004,BAYO ILLELE,0,0,0,0,1,0,1,1,0,0,0,0,0,
