State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
TARABA,BALI,BADAKOSHI,34-02-01-001,"BADAKOSHI, SANSANI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BADAKOSHI,34-02-01-003,"GARKEN SAMA, GARKEN SAMA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-001,"ADAMU I, CENTRAL PRIMARY SCHOOL",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-002,"ADAMU II, UNG. CHAMBA K. DAMBATURE",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-004,"ADAMU IV, K/TORO TONDO",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-007,"J/BUNGAH, J/BUWGAH",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-008,"M/GAJERE, M/GAJERE",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-009,"NAYINAWA, NAYINAWA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI  A,34-02-02-010,"S/BAKA, S/BAKA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-001,"ASINAI, ASINAI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-002,"BAWA I, GINDIN DUTSE",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-003,"BAWA II, KOFAN SARKI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-004,"DANIYA, DANIYA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-005,"GAZABU BELKEJI, GAZABU BELKEJI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-006,"GAZABU, GAZABU",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-007,"G/AJUJI, G/AJUJI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-008,"JUKUNAWA I, G.S.S., BALI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-009,"JUKUNAWA II, BALI I PRIMARY SCHOOL",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,BALI B,34-02-03-010,"SABON DALE, SABON DALE",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-001,"G/BAKEN, G/BAKEN",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-002,"G/SAMEN, G/SAMEN",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-003,"JOBDI I, UNG JOBDI DAKA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-004,"JOBDI II, KAMPU",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-005,"NYAWANTI, NYAWANTI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-006,"NYINKUSUM, NYINKUSUM",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-007,"SARKIN NOMA, GDSS, DAKKA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG DOLE,34-02-04-008,"TIMJEMI, TIMJEMI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANGTIBA,34-02-06-004,"GANG TIBA , TIBA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANGTIBA,34-02-06-005,"GANG TIBA II, SABON LAYI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANGTIBA,34-02-06-007,"SARKIN MATA, SARKIN MATA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-001,"BINYIWA, BINYIWA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-003,"GANDAN BANA II, GANGBON",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-004,"GANG WONJIDA, GANG WONJIDA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-005,"GANG PENTOM, GANG PENTOM",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-006,"MIRIMIRIDONKOLO, MIRIMIRIDONKOLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-007,"PAMANGA, PAMANGA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,GANG MATA,34-02-07-008,"SABONGIDA, SABONGIDA",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,KAIGAMA,34-02-08-001,"B/WURKUM, B/WURKUM",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,KAIGAMA,34-02-08-002,"GANG FURUM, GANG FURUM",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,KAIGAMA,34-02-08-005,"J/JULDE II, J/AUDI",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,KAIGAMA,34-02-08-007,"J/ZUBAIRU, J/ZUBAIRU",0,0,0,0,1,0,1,1,0,0,0,0,0,
TARABA,BALI,KAIGAMA,34-02-08-008,"J/BELLO, J/BELLO",0,0,0,0,1,0,1,1,0,0,0,0,0,
