State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
YOBE,BADE,LAWAN MUSA,35-01-06-001,NEAR EMIRS PALACE III,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,BADE,LAWAN MUSA,35-01-06-002,NEAR EMIRS PALACE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,BADE,LAWAN MUSA,35-01-06-004,UMAR SULIEMAN I,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,BADE,LAWAN MUSA,35-01-06-005,UMAR SULIEMAN II,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,BADE,LAWAN MUSA,35-01-06-006,DUGUM JAMBO I EAST,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,BADE,LAWAN MUSA,35-01-06-007,DUGUM JAMBO II WEST,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-001,"CHANA, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-002,"DAYA, PRI. SCH. I",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-003,"DAYA, PRI. SCH. II",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-004,"MALE, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-005,"SIMINTI, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-006,"KUKAR GADU, PRI. SCH. I",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-007,"KUKAR GADU, PRI. SCH. II",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-008,"KUKAWA, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,DAYA/CHANA,35-04-01-009,"YELWA, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,FIKA/ANZE,35-04-02-002,"ANZE, PRI. SCH. II",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,FIKA/ANZE,35-04-02-004,"BOGWUNA TINJA, MAGISTRATE COURT",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,FIKA/ANZE,35-04-02-005,"BOGWUNA TINJA, PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,FIKA/ANZE,35-04-02-008,"SIRIFE, VIEWING CENTRE",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,FIKA/ANZE,35-04-02-009,SIRIFE GINDIN RUMFA OPEN SPACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,GUDI / DOZI / GODO WOLI,35-04-04-001,"DADE YASUA, KOFAR MAIUNGUWA",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,GUDI / DOZI / GODO WOLI,35-04-04-002,"DOFFO OFARA , PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,GUDI / DOZI / GODO WOLI,35-04-04-003,"GAMARI,  PRI. SCH.",0,0,0,0,1,0,1,1,0,0,0,0,0,
YOBE,FIKA,GUDI / DOZI / GODO WOLI,35-04-04-004,"GAMARI , DISPENSARY",0,0,0,0,1,0,1,1,0,0,0,0,0,
