State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ZAMFARA,ANKA,GALADIMA,36-01-04-002,KADADDABA/PRI. SCH.,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,GALADIMA,36-01-04-003,KANWURI/PALACE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,GALADIMA,36-01-04-005,BABBAN BAYE/BABBAN BAYE,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,MAGAJI,36-01-05-009,TUNGAR MAI RAKUMI/GARKAR HAKIM,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,MATSERI,36-01-06-008,MAIDUMA/KANWURI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,MATSERI,36-01-06-019,MATSERIN FILLANI/MATSERIN FULANI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,YAR'SABAYA,36-01-10-001,BARDOKI/DANBEDI,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,YAR'SABAYA,36-01-10-002,YAR SABAYA/PRI. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,YAR'SABAYA,36-01-10-003,YAR TASHA/YAR TASHA,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,YAR'SABAYA,36-01-10-004,YAR MATANKARI/PRI. SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,YAR'SABAYA,36-01-10-005,BAGADA/GARKA,0,0,0,0,1,0,1,1,0,0,0,0,0,
ZAMFARA,ANKA,YAR'SABAYA,36-01-10-006,MATUKUDA/GIDAN HAKIMI,0,0,0,0,1,0,1,1,0,0,0,0,0,
